mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,k_percent
-0.0005435706359605087,8.166666666666666,-0.008568131736515617,-0.13360143594001544,1.0
-0.0005435706359605087,8.166666666666666,-0.008568131736515617,-0.13360143594001544,1.5
-0.0005435706359605087,8.166666666666666,-0.008568131736515617,-0.13360143594001544,2.0
-0.0005435706359605087,8.166666666666666,-0.008568131736515617,-0.13360143594001544,2.5
0.0007366316019676121,9.375,-0.009761508685363171,-0.15256189375426238,3.0
-0.00010858304951111084,12.75,-0.01934027188610359,-0.38901699043137755,3.5
-0.00010858304951111084,12.75,-0.01934027188610359,-0.38901699043137755,4.0
-0.00010858304951111084,12.75,-0.01934027188610359,-0.38901699043137755,4.5
-0.00010858304951111084,12.75,-0.01934027188610359,-0.38901699043137755,5.0
-0.00010858304951111084,12.75,-0.01934027188610359,-0.38901699043137755,5.5
-0.0003678010097448781,13.166666666666666,-0.024598098990792152,-0.5155667832585563,6.0
-0.0019183309289887904,14.166666666666666,-0.0272832131174596,-0.6117700939194327,6.5
-0.0013090195132593903,14.333333333333334,-0.024617587846024493,-0.5451294621335547,7.0
-0.0013090195132593903,14.333333333333334,-0.024617587846024493,-0.5451294621335547,7.5
-0.0013090195132593903,14.333333333333334,-0.024617587846024493,-0.5451294621335547,8.0
-0.0013090195132593903,14.333333333333334,-0.024617587846024493,-0.5451294621335547,8.5
-0.0014376879254150664,17.458333333333332,-0.033370085630838396,-0.638100904012423,9.0
-0.0016108401232912068,20.291666666666668,-0.05271909789691914,-1.0862778688144568,9.5
-0.00147395182303906,20.375,-0.05102836653634529,-1.0440095848001105,10.0
-0.0013741893522097742,20.708333333333332,-0.04846827256352365,-0.9800072354795695,10.5
-0.0013741893522097742,20.708333333333332,-0.04846827256352365,-0.9800072354795695,11.0
-0.0013741893522097742,20.708333333333332,-0.04846827256352365,-0.9800072354795695,11.5
-0.001723362709620667,21.0,-0.05213252574980711,-1.0589032555635374,12.0
-0.0018698757422127078,22.333333333333332,-0.05590360269155037,-1.139194731890005,12.5
0.000535809765209971,23.416666666666668,-0.050599315490228336,-1.014330419533871,13.0
0.0005020849134271437,23.458333333333332,-0.051518443043466054,-1.037308608364814,13.5
0.0003189429197722876,24.083333333333332,-0.05621954381379557,-1.1925729616731302,14.0
0.0003189429197722876,24.083333333333332,-0.05621954381379557,-1.1925729616731302,14.5
0.0007771108990756335,24.291666666666668,-0.05301756512797218,-1.1125234945275457,15.0
0.0011200862486906791,24.708333333333332,-0.043590826562599605,-0.981603676022802,15.5
0.0010663353875639218,24.875,-0.044805214469232114,-1.0122706852214114,16.0
0.0010641950318762505,24.958333333333332,-0.045347503026446044,-1.02582789915176,16.5
0.000744768113315893,25.541666666666668,-0.0577909620298007,-1.3249927068753475,17.0
0.00044850996218160824,25.791666666666668,-0.06162108617264089,-1.4207142576371936,17.5
0.0004961659167005486,26.458333333333332,-0.05576864899484097,-1.3066285097194,18.0
0.0003413902099177542,29.416666666666668,-0.07353801018155091,-1.4938930394790406,18.5
0.0007516850926739849,30.708333333333332,-0.06263635682998654,-1.2287002384693748,19.0
0.000776888407552545,30.75,-0.06235896829495469,-1.2217655250935788,19.5
0.000776888407552545,30.75,-0.06235896829495469,-1.2217655250935788,20.0
0.0007516066840079164,30.833333333333332,-0.063818888617576,-1.2578389455914185,20.5
0.0007759646655453684,31.25,-0.06361014616100923,-1.2574612002996703,21.0
0.0006830276957696795,31.458333333333332,-0.06707153982937086,-1.3537579982900894,21.5
0.0005031649426368998,32.416666666666664,-0.07476132747628594,-1.4723106927781453,22.0
0.0005031649426368998,32.416666666666664,-0.07476132747628594,-1.4723106927781453,22.5
0.0005031649426368998,32.416666666666664,-0.07476132747628594,-1.4723106927781453,23.0
0.0004555086115892301,34.166666666666664,-0.0883546462172957,-1.4052636240925953,23.5
0.0001413067417155059,36.291666666666664,-0.10940504314262911,-1.6967710104912488,24.0
0.00020919632995734837,37.583333333333336,-0.10907690725070139,-1.6341149602626417,24.5
0.00020919632995734837,37.583333333333336,-0.10907690725070139,-1.6341149602626417,25.0
