mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,std_monthly_corpus_return,min_monthly_corpus_return,max_monthly_corpus_return,k_percent
0.00399823192504891,39.733333333333334,-0.10891153986217976,0.0032223867114216324,0.035324896003973275,-0.08497283329814331,0.1415391424869672,1.0
0.00399823192504891,39.733333333333334,-0.10891153986217976,0.0032223867114216324,0.035324896003973275,-0.08497283329814331,0.1415391424869672,1.5
0.00399823192504891,39.733333333333334,-0.10891153986217976,0.0032223867114216324,0.035324896003973275,-0.08497283329814331,0.1415391424869672,2.0
0.0020154879311315675,53.78333333333333,-0.13808850976615267,0.015350383862018703,0.0914877550871559,-0.07841360799852692,0.6568627487148264,2.5
0.006143110281163889,74.28333333333333,-0.04977341188316664,0.02034869167892764,0.09476838445766382,-0.07841360799852692,0.6568627487148264,3.0
0.0061080971165824,77.31666666666666,-0.055507330695774564,0.020030955826557544,0.09494764383212442,-0.07841360799852692,0.6568627487148264,3.5
0.0061080971165824,77.31666666666666,-0.055507330695774564,0.020030955826557544,0.09494764383212442,-0.07841360799852692,0.6568627487148264,4.0
0.0061080971165824,77.31666666666666,-0.055507330695774564,0.020030955826557544,0.09494764383212442,-0.07841360799852692,0.6568627487148264,4.5
0.005955410050688213,86.56666666666666,-0.09117060596258736,0.020246152076034137,0.09586635876415274,-0.0787789920366172,0.6568627487148264,5.0
0.005776389857009476,89.66666666666667,-0.0969483885550984,0.018782686579843545,0.09494889906296958,-0.0787789920366172,0.6568627487148264,5.5
0.005408574714019649,106.75,-0.06825284023019439,0.015079517337830682,0.09521360453199022,-0.0787789920366172,0.6568627487148264,6.0
0.0055378662599462995,108.38333333333334,-0.0732888579157265,0.014948395641551647,0.09523094312113418,-0.0787789920366172,0.6568627487148264,6.5
0.005707627976286851,112.48333333333333,-0.10196282120366446,0.015174042870103533,0.09534068528641271,-0.0787789920366172,0.6568627487148264,7.0
0.0052473851218970274,114.03333333333333,-0.11914153487104397,0.01419070459075633,0.0958535705867129,-0.09571556220889288,0.6568627487148264,7.5
0.004398920837901637,115.91666666666667,-0.12934043115129248,0.012766610831569238,0.0962518202665445,-0.09571556220889288,0.6568627487148264,8.0
0.00463807783927023,119.0,-0.12320701621497919,0.011511337644923153,0.09578399863421824,-0.09571556220889288,0.6568627487148264,8.5
0.0046898815793189426,121.21666666666667,-0.08132739452048796,0.010630443597668786,0.09571657398884803,-0.09571556220889288,0.6568627487148264,9.0
0.004679535294347792,124.66666666666667,-0.08051783107021827,0.010911614069545734,0.09560573255681062,-0.09571556220889288,0.6568627487148264,9.5
0.004498893214653776,126.3,-0.057389033031667515,0.011167383268567197,0.09530977138918238,-0.09560938680827458,0.6568627487148264,10.0
0.004285500673723784,127.15,-0.08291013256078279,0.010573319260178345,0.09601499783609761,-0.10862470112850287,0.6568627487148264,10.5
0.0043281054294277,127.7,-0.061386895407985545,0.010760082481791477,0.09613461577772059,-0.10862470112850287,0.6568627487148264,11.0
0.004225488345889875,135.16666666666666,-0.1012220346589366,0.009015546841703088,0.09664413899132543,-0.10862470112850287,0.6568627487148264,11.5
0.0014874120520443218,139.75,-0.07400695299195253,0.0012703974996219095,0.05172532992462694,-0.10862470112850287,0.18280214632346858,12.0
0.0015128860375007798,142.41666666666666,-0.09142548400061062,0.001970392942619224,0.05226329243708069,-0.12035429192144775,0.18280214632346858,12.5
0.0015310959336138086,142.86666666666667,-0.08605035663038767,0.002035808951038448,0.05246965867287174,-0.12035429192144775,0.18280214632346858,13.0
0.0015064031478655981,142.95,-0.08918785119633511,0.0022396312847294355,0.05227100761147475,-0.12035429192144775,0.18280214632346858,13.5
0.001945029466674158,146.35,0.03900571631348042,0.0037353981716928236,0.05638437317741527,-0.12035429192144775,0.18280214632346858,14.0
0.0013180553375545675,150.96666666666667,0.018091194157066177,0.0019719398169125973,0.05294225461775759,-0.12035429192144775,0.178114455190842,14.5
0.0012318221131490438,156.51666666666668,0.0075404849814438455,0.002061660001738913,0.05218972830349157,-0.11985716326431739,0.178114455190842,15.0
0.0012860134226474692,159.2,-0.005623155869300794,0.0016789400390457621,0.05170016321549438,-0.11985716326431739,0.178114455190842,15.5
0.0012636771185532611,159.66666666666666,-0.015988000038609916,0.0015094572082126315,0.051774690301589044,-0.11985716326431739,0.178114455190842,16.0
0.0013164348116165862,159.98333333333332,-0.008929802773374807,0.002334136454507981,0.05471552764129252,-0.11985716326431739,0.22470463910181726,16.5
0.0014111527070751007,162.08333333333334,-0.020055702991579334,0.0020930020275416405,0.05463814242440806,-0.11985716326431739,0.22470463910181726,17.0
0.0012398872679450818,167.81666666666666,-0.020777517496095323,0.0026019057715003864,0.05415815758899176,-0.10862470112850287,0.22470463910181726,17.5
0.00128808633779943,170.3,-0.0041007499493409365,0.002505167252531006,0.05340817747038914,-0.10862470112850287,0.22470463910181726,18.0
0.0011073244036410566,173.26666666666668,-0.02899339893303203,0.0021221864491155836,0.05336305741654098,-0.10862470112850287,0.22470463910181726,18.5
0.0009095124085060329,174.88333333333333,-0.0408615229159921,0.0016889448648318335,0.05372812121262055,-0.10862470112850287,0.23455665571508866,19.0
0.0008731563415880976,176.15,-0.050787208371540306,0.0011991938941285343,0.05410233880190117,-0.10862470112850287,0.23455665571508866,19.5
0.0008031239141296218,176.73333333333332,-0.057056663320257134,0.0010840693158999733,0.05412520300492378,-0.10862470112850287,0.23455665571508866,20.0
0.0008001624421594642,177.55,-0.05970684785829745,0.001798420169719093,0.05421541181909169,-0.10862470112850287,0.23455665571508866,20.5
