MONTHS WHERE COMBINED_METRIC > 0.005 AND CORPUS_RETURN < 0
============================================================

     month  mean_performance  count  corpus_return  monthly_combined  k_percent
2022-05-01          0.013161     29      -0.004109          0.370080  12.500000
2018-01-01          0.001230    108      -0.008817          0.089652  13.000000
2018-02-01          0.008243    187      -0.014489          1.466726  13.000000
2018-05-01          0.002985    111      -0.024966          0.286946  13.000000
2020-01-01          0.013802     29      -0.009330          0.388667  13.000000
2020-03-01          0.016181     17      -0.008221          0.268271  13.000000
2020-08-01          0.018481     22      -0.037391          0.397775  13.000000
2020-12-01          0.004009     19      -0.004654          0.068573  13.000000
2021-05-01          0.003182     32      -0.021913          0.089010  13.000000
2022-05-01          0.013161     29      -0.004109          0.370080  13.000000
2018-01-01          0.001230    108      -0.008817          0.089652  13.500000
2018-02-01          0.008243    187      -0.014489          1.466726  13.500000
2018-05-01          0.002985    111      -0.024966          0.286946  13.500000
2020-01-01          0.013802     29      -0.009330          0.388667  13.500000
2020-03-01          0.016181     17      -0.008221          0.268271  13.500000
2020-08-01          0.018481     22      -0.037391          0.397775  13.500000
2020-12-01          0.004009     19      -0.004654          0.068573  13.500000
2021-05-01          0.003182     32      -0.021913          0.089010  13.500000
2022-05-01          0.013161     29      -0.004109          0.370080  13.500000
2018-01-01          0.001230    108      -0.008817          0.089652  14.000000
2018-02-01          0.008243    187      -0.014489          1.466726  14.000000
2018-05-01          0.002985    111      -0.024966          0.286946  14.000000
2020-01-01          0.013802     29      -0.009330          0.388667  14.000000
2020-03-01          0.016181     17      -0.008221          0.268271  14.000000
2020-08-01          0.018481     22      -0.037391          0.397775  14.000000
2020-12-01          0.004009     19      -0.004654          0.068573  14.000000
2021-05-01          0.003182     32      -0.021913          0.089010  14.000000
2022-05-01          0.013161     29      -0.004109          0.370080  14.000000
2018-01-01          0.001230    108      -0.008817          0.089652  14.500000
2018-02-01          0.008243    187      -0.014489          1.466726  14.500000
2018-05-01          0.003434    112      -0.024953          0.339811  14.500000
2020-01-01          0.013802     29      -0.009330          0.388667  14.500000
2020-03-01          0.016181     17      -0.008221          0.268271  14.500000
2020-07-01          0.002518    128      -0.083344          0.271117  14.500000
2020-08-01          0.018481     22      -0.037391          0.397775  14.500000
2020-12-01          0.004009     19      -0.004654          0.068573  14.500000
2021-05-01          0.003182     32      -0.021913          0.089010  14.500000
2022-05-01          0.013161     29      -0.004109          0.370080  14.500000
2018-02-01          0.008243    187      -0.014489          1.466726  15.000000
2018-05-01          0.003434    112      -0.024953          0.339811  15.000000
2020-01-01          0.013802     29      -0.009330          0.388667  15.000000
2020-03-01          0.016181     17      -0.008221          0.268271  15.000000
2020-07-01          0.002518    128      -0.083344          0.271117  15.000000
2020-08-01          0.018481     22      -0.037391          0.397775  15.000000
2021-05-01          0.003182     32      -0.021913          0.089010  15.000000
2021-12-01          0.003145     10      -0.009265          0.027452  15.000000
2022-05-01          0.013161     29      -0.004109          0.370080  15.000000
2018-02-01          0.008243    187      -0.014489          1.466726  15.500000
2018-05-01          0.003434    112      -0.024953          0.339811  15.500000
2020-01-01          0.013802     29      -0.009330          0.388667  15.500000
2020-03-01          0.016181     17      -0.008221          0.268271  15.500000
2020-07-01          0.002518    128      -0.083344          0.271117  15.500000
2020-08-01          0.015311     86      -0.043574          1.282311  15.500000
2021-05-01          0.003182     32      -0.021913          0.089010  15.500000
2021-12-01          0.003145     10      -0.009265          0.027452  15.500000
2022-05-01          0.013161     29      -0.004109          0.370080  15.500000
2022-09-01          0.002180     19      -0.006132          0.033815  15.500000
2018-02-01          0.008243    187      -0.014489          1.466726  16.000000
2018-05-01          0.003434    112      -0.024953          0.339811  16.000000
2020-01-01          0.013802     29      -0.009330          0.388667  16.000000
2020-03-01          0.016181     17      -0.008221          0.268271  16.000000
2020-07-01          0.002518    128      -0.083344          0.271117  16.000000
2020-08-01          0.015311     86      -0.043574          1.282311  16.000000
2021-05-01          0.003182     32      -0.021913          0.089010  16.000000
2021-12-01          0.003145     10      -0.009265          0.027452  16.000000
2022-05-01          0.013161     29      -0.004109          0.370080  16.000000
2022-09-01          0.002180     19      -0.006132          0.033815  16.000000
2018-02-01          0.008243    187      -0.014489          1.466726  16.500000
2018-05-01          0.003434    112      -0.024953          0.339811  16.500000
2020-01-01          0.013802     29      -0.009330          0.388667  16.500000
2020-03-01          0.016181     17      -0.008221          0.268271  16.500000
2020-07-01          0.002518    128      -0.083344          0.271117  16.500000
2020-08-01          0.015311     86      -0.043574          1.282311  16.500000
2021-05-01          0.003182     32      -0.021913          0.089010  16.500000
2021-12-01          0.003145     10      -0.009265          0.027452  16.500000
2022-05-01          0.013161     29      -0.004109          0.370080  16.500000
2022-09-01          0.002180     19      -0.006132          0.033815  16.500000
2018-02-01          0.003545    188      -0.020652          0.591169  17.000000
2020-01-01          0.013802     29      -0.009330          0.388667  17.000000
2020-03-01          0.016181     17      -0.008221          0.268271  17.000000
2020-07-01          0.002518    128      -0.083344          0.271117  17.000000
2020-08-01          0.015311     86      -0.043574          1.282311  17.000000
2021-05-01          0.003182     32      -0.021913          0.089010  17.000000
2021-12-01          0.003145     10      -0.009265          0.027452  17.000000
2022-05-01          0.004431     40      -0.062183          0.161258  17.000000
2022-09-01          0.002180     19      -0.006132          0.033815  17.000000
2018-02-01          0.003545    188      -0.020652          0.591169  17.500000
2020-01-01          0.013802     29      -0.009330          0.388667  17.500000
2020-03-01          0.016181     17      -0.008221          0.268271  17.500000
2020-08-01          0.015311     86      -0.043574          1.282311  17.500000
2021-05-01          0.003182     32      -0.021913          0.089010  17.500000
2021-12-01          0.003145     10      -0.009265          0.027452  17.500000
2022-05-01          0.004431     40      -0.062183          0.161258  17.500000
2022-09-01          0.002180     19      -0.006132          0.033815  17.500000
2018-02-01          0.003545    188      -0.020652          0.591169  18.000000
2020-01-01          0.013802     29      -0.009330          0.388667  18.000000
2020-03-01          0.016181     17      -0.008221          0.268271  18.000000
2020-08-01          0.015311     86      -0.043574          1.282311  18.000000
2021-05-01          0.003182     32      -0.021913          0.089010  18.000000
2021-12-01          0.003145     10      -0.009265          0.027452  18.000000
2022-05-01          0.004431     40      -0.062183          0.161258  18.000000
2022-09-01          0.002180     19      -0.006132          0.033815  18.000000
2022-11-01          0.001903    102      -0.018029          0.153255  18.000000
2018-02-01          0.003545    188      -0.020652          0.591169  18.500000
2020-01-01          0.013802     29      -0.009330          0.388667  18.500000
2020-03-01          0.016181     17      -0.008221          0.268271  18.500000
2020-08-01          0.015311     86      -0.043574          1.282311  18.500000
2021-05-01          0.003182     32      -0.021913          0.089010  18.500000
2021-12-01          0.003145     10      -0.009265          0.027452  18.500000
2022-05-01          0.004431     40      -0.062183          0.161258  18.500000
2022-09-01          0.002180     19      -0.006132          0.033815  18.500000
2022-11-01          0.001903    102      -0.018029          0.153255  18.500000
2018-02-01          0.003545    188      -0.020652          0.591169  19.000000
2020-01-01          0.013802     29      -0.009330          0.388667  19.000000
2020-03-01          0.016181     17      -0.008221          0.268271  19.000000
2020-08-01          0.015311     86      -0.043574          1.282311  19.000000
2021-05-01          0.003182     32      -0.021913          0.089010  19.000000
