mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,std_monthly_corpus_return,min_monthly_corpus_return,max_monthly_corpus_return,median_monthly_corpus_return,mode_monthly_corpus_return,k_percent
0.0028637956413234307,35.266666666666666,0.08510771234289521,-0.0016238247705733827,0.02879377711052997,-0.04717608123615369,0.10704540971508614,-0.00023355769881822086,0.0,1.0
0.0028637956413234307,35.266666666666666,0.08510771234289521,-0.0016238247705733827,0.02879377711052997,-0.04717608123615369,0.10704540971508614,-0.00023355769881822086,0.0,1.5
0.0028637956413234307,35.266666666666666,0.08510771234289521,-0.0016238247705733827,0.02879377711052997,-0.04717608123615369,0.10704540971508614,-0.00023355769881822086,0.0,2.0
0.0028637956413234307,35.266666666666666,0.08510771234289521,-0.0016238247705733827,0.02879377711052997,-0.04717608123615369,0.10704540971508614,-0.00023355769881822086,0.0,2.5
0.004463031654308393,45.06666666666667,0.05804799012614058,0.00014131595323728258,0.03062110754409658,-0.04717608123615369,0.10704540971508614,-0.0004671153976364417,0.0,3.0
0.004544689092632829,58.55,0.16598004629148366,0.005838955123226101,0.03856829775950686,-0.07823271032365209,0.11225278544371387,-8.243478624525569e-05,0.0,3.5
0.0018760454867855695,59.483333333333334,0.161966430786165,0.00595463947217608,0.04016382022072597,-0.07823271032365209,0.11225278544371387,-0.0001849115904011267,0.0,4.0
0.001850162035275851,61.083333333333336,0.14704607975628564,0.0056881294031482605,0.04032890501617092,-0.07823271032365209,0.11225278544371387,-0.0008608582258875508,0.0,4.5
0.0024066094368351233,62.4,0.13843105825862737,0.0055657354772649745,0.04042625206411121,-0.07823271032365209,0.11225278544371387,-0.0008608582258875508,0.0,5.0
0.0022880693316630197,65.38333333333334,0.1093767639488171,0.005829224249056566,0.03998530470309086,-0.07823271032365209,0.11225278544371387,-0.002455432271214142,0.0,5.5
0.0018984925154331125,68.0,0.09468849319341859,0.0038310932230535277,0.03831769196882374,-0.07823271032365209,0.11225278544371387,-0.0028701028341845403,0.0,6.0
0.0026474673590679222,78.48333333333333,0.3403457753174967,0.003754307052450162,0.03733838945350282,-0.0757411247544778,0.12819356165012863,-0.0034757441837250935,0.0,6.5
0.003053798282178342,82.63333333333334,0.3428951569830994,0.003100221286007455,0.037695312866689604,-0.0757411247544778,0.12819356165012863,-0.004391077878589833,0.0,7.0
0.003562130432898793,84.08333333333333,0.36669623341152063,0.00397975629869544,0.03711342043655758,-0.0757411247544778,0.12819356165012863,-0.0037703305526675113,0.0,7.5
0.0035959513850408495,84.3,0.35906408701310666,0.00417603665867654,0.036830405827170426,-0.0757411247544778,0.12819356165012863,-0.004391077878589833,0.0,8.0
0.0033872338653087647,86.95,0.37395841863199114,0.004288081975328036,0.03689297578883715,-0.0757411247544778,0.12819356165012863,-0.0034757441837250935,0.0,8.5
0.0033669556723047857,87.4,0.3659636355540248,0.004105104368344871,0.037044058104818145,-0.0757411247544778,0.12819356165012863,-0.0034757441837250935,0.0,9.0
0.0032840981054402733,90.36666666666666,0.35497210993008255,0.003268056192124206,0.03882132016212224,-0.10650865061506276,0.12819356165012863,-0.0026929726204640847,0.0,9.5
0.0031721277116414357,92.8,0.38210647496798444,0.0015034602797040215,0.03682012697627461,-0.10650865061506276,0.11169368963265658,-0.002019865696222811,0.0,10.0
0.0032160112773569655,94.16666666666667,0.37012655954794527,0.002064822208419281,0.037297041785509556,-0.10650865061506276,0.11169368963265658,-0.0018499164593290818,0.0,10.5
0.0030255625279138757,96.5,0.36852325879492914,0.001667596680861818,0.037241575420729055,-0.10650865061506276,0.11169368963265658,-0.0011837461669572669,0.0,11.0
0.002329744445373018,98.43333333333334,0.35032567206700377,0.0010083348152690364,0.03916261794576593,-0.10862470112850287,0.11169368963265658,-0.0011837461669572669,0.0,11.5
0.003286434646847131,98.66666666666667,0.3451086749124787,0.0008997552275381719,0.038884225821386405,-0.10862470112850287,0.11169368963265658,-0.001130625729598933,0.0,12.0
0.003326038769214909,101.75,0.33171050145008496,0.0012902741488624728,0.03891014645093414,-0.10862470112850287,0.11169368963265658,-0.00041942003746092693,0.0,12.5
0.0035980258916321786,107.38333333333334,0.3549665988705636,0.0015107497612014242,0.03878462116144324,-0.10862470112850287,0.11169368963265658,0.0,0.0,13.0
0.0037352073767378804,109.31666666666666,0.3650281171257944,0.0015926688336640996,0.038613165671979956,-0.10862470112850287,0.11169368963265658,0.0,0.0,13.5
0.004003416260927297,111.61666666666666,0.35143183616506773,0.0013110398569933198,0.0386013162766124,-0.10862470112850287,0.11169368963265658,0.0,0.0,14.0
0.004067532375284214,112.6,0.3594188712539991,0.001403402814290148,0.03858544972323876,-0.10862470112850287,0.11169368963265658,0.00018242691803793676,0.0,14.5
0.004069879597033473,112.86666666666666,0.35637580142353315,0.0008845206258590088,0.04067617860866087,-0.14534353137642442,0.11169368963265658,0.00018242691803793676,0.0,15.0
0.0036585173748351144,113.15,0.35059515978651934,0.0004160022060997415,0.04094050471604612,-0.14534353137642442,0.11169368963265658,0.0,0.0,15.5
0.003781776118380555,114.01666666666667,0.35923287443578095,0.0005500164125300411,0.04123226926935005,-0.14534353137642442,0.11169368963265658,0.00018242691803793676,0.0,16.0
0.0038562950542151493,118.91666666666667,0.37570017116241483,-8.025811545576688e-05,0.0405109793296619,-0.14534353137642442,0.09786171209450334,0.00018242691803793676,0.0,16.5
0.0035066937250915306,121.33333333333333,0.34627438021545215,-0.00038259815853767626,0.04057599087806629,-0.14534353137642442,0.09786171209450334,0.00018242691803793676,0.0,17.0
