date,num_selected_authors,mean_performance,selected_authors_performance,performance_difference,daily_return,corpus_value
2021-12-01,5,-0.00836091480083974,-0.00836091480083974,0.0,-0.007008731840671792,0.9929912681593281
2021-12-02,3,-0.009194298410999167,-0.009194298410999167,0.0,-0.007621643636989672,0.9853696245223384
2021-12-03,5,-0.009326686112694261,-0.009326686112694261,0.0,-0.007667504834169749,0.9777021196881687
2021-12-04,2,0.008740610190389249,0.008740610190389249,0.0,0.006523705810109047,0.9842258254982776
2021-12-05,1,0.0246164574616457,0.0246164574616457,0.0,0.01906757026866573,1.0032933957669434
2021-12-06,7,0.02420159831793481,0.02420159831793481,0.0,0.01910398912086527,1.0223973848878087
2021-12-07,4,-0.004346373080103501,-0.004346373080103501,0.0,-0.00388214353983977,1.0185152413479688
2021-12-08,3,-0.0177454163303403,-0.0177454163303403,0.0,-0.01478510647444474,1.003730134873524
2021-12-09,9,0.020598384461723476,0.020598384461723476,0.0,0.0162189817279944,1.0199491166015182
2021-12-10,2,0.006110087391600001,0.006110087391600001,0.0,0.0046591988726239104,1.024608315474142
2021-12-12,1,-0.0192934782608695,-0.0192934782608695,0.0,-0.01614248126935691,1.0084658342047852
2021-12-13,5,-0.00658019589902942,-0.00658019589902942,0.0,-0.005631431264182019,1.0028344029406029
2021-12-14,5,-0.0243578750535107,-0.0243578750535107,0.0,-0.019862439077892362,0.9829719638627106
2021-12-15,1,-0.0351802990325417,-0.0351802990325417,0.0,-0.02797954913187201,0.9549924147308385
2021-12-16,5,-0.0034459618679105594,-0.0034459618679105594,0.0,-0.002938291528958905,0.9520541232018795
2021-12-17,1,0.0142340540124644,0.0142340540124644,0.0,0.010536614530531393,0.9625907377324109
2021-12-19,1,-0.0020477137176938,-0.0020477137176938,0.0,-0.0018849172426180939,0.9607058204897928
2021-12-20,5,0.0192502021647246,0.0192502021647246,0.0,0.014487599149648173,0.975193419639441
2021-12-21,1,0.0039408866995073,0.0039408866995073,0.0,0.0027624395272386705,0.9779558591666796
2021-12-22,7,-0.020515382875231074,-0.020515382875231074,0.0,-0.01636345698363733,0.9615924021830423
2021-12-23,3,-0.026138094310897798,-0.026138094310897798,0.0,-0.02041506388622108,0.9411773382968213
2021-12-24,2,-0.012590503286227798,-0.012590503286227798,0.0,-0.009781093844854392,0.9313962444519669
2021-12-27,3,0.007471699431424966,0.007471699431424966,0.0,0.005269243433857859,0.9366654878858248
2021-12-28,4,0.027101870113165026,0.027101870113165026,0.0,0.02000857615760932,0.9566740640434341
2021-12-29,5,-0.0015538804738722003,-0.0015538804738722003,0.0,-0.0014953814188755432,0.9551786826245585
2021-12-30,2,0.0410206397884058,0.0410206397884058,0.0,0.031039975360364944,0.9862186579849235
2021-12-31,3,0.0003904884494134334,0.0003904884494134334,0.0,-7.504374923871654e-06,0.9862111536099996
