mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,k_percent
0.0027638304507699722,32.75,0.1621020058233003,0.31017199398561607,1.0
0.0027638304507699722,32.75,0.1621020058233003,0.31017199398561607,1.5
0.0027638304507699722,32.75,0.1621020058233003,0.31017199398561607,2.0
0.0027638304507699722,32.75,0.1621020058233003,0.31017199398561607,2.5
0.00231948208782525,40.05,0.13768103948428415,0.36347874921305295,3.0
0.0033721768047963864,47.166666666666664,0.34373162540097146,0.4624558696067658,3.5
0.0035044692279203515,52.7,0.3554378557522161,0.4603195713792818,4.0
0.002803922637436959,53.983333333333334,0.35800467308198847,0.44179467824211033,4.5
0.0033408544873376575,55.0,0.339708486335184,0.5501631854345563,5.0
0.0033342780549320064,56.78333333333333,0.3231721517805722,0.5135997944654196,5.5
0.004018429281820882,62.05,0.3118693746894041,0.5562141578297491,6.0
0.0044058079860169,68.21666666666667,0.31044431238052766,0.7646516081065737,6.5
0.0038922225890008263,76.11666666666666,0.40248318623905405,0.6305395259091863,7.0
0.003741143305561131,78.38333333333334,0.38307872232302737,0.6678736324939203,7.5
0.004836902288987794,78.41666666666667,0.37978699870476845,0.656330686619222,8.0
0.0042202456269748905,81.9,0.37141947598533837,0.548706999094006,8.5
0.004194363443917478,83.06666666666666,0.3533555607750404,0.5785270902338276,9.0
0.0042862880079808765,86.35,0.3581840527221616,0.5928545544339533,9.5
0.0045249154648314685,89.16666666666667,0.3877487298893964,0.5691509074542767,10.0
0.004139199484092316,94.81666666666666,0.41504545504688584,0.40065697675826994,10.5
0.004080173537829939,96.16666666666667,0.3981706319548327,0.3732889994967327,11.0
0.004173397469803189,100.75,0.3818410700995011,0.5173573646315569,11.5
0.0037106233413476035,101.46666666666667,0.38404355405996793,0.5124282158991137,12.0
0.0036969497150702007,102.81666666666666,0.39907778598170424,0.505355884713436,12.5
0.0036824354051101117,104.43333333333334,0.39937333361089306,0.4843899935839443,13.0
0.003910365879692615,108.31666666666666,0.4342361053928648,0.5615945188489899,13.5
0.004024272820644323,112.4,0.4080874566475939,0.6090706697310498,14.0
0.004017387469169206,113.05,0.41093697501241283,0.6168893152580351,14.5
0.0039584978860177,115.61666666666666,0.39273282686671096,0.4790647704611378,15.0
0.004177738389436386,116.86666666666666,0.4013864394225696,0.4395952902562933,15.5
0.004268893226529689,118.66666666666667,0.39825418340376006,0.4279193679153091,16.0
0.004338341647063737,120.5,0.4517855731967618,0.3296244868066504,16.5
0.004191503213670052,125.88333333333334,0.4681974942894037,0.3951777099304201,17.0
0.004221494940038244,126.46666666666667,0.4653506565331307,0.430352868694451,17.5
0.004076648995802407,127.68333333333334,0.45014088355197374,0.33756653117792484,18.0
0.004076648995802407,127.68333333333334,0.45014088355197374,0.33756653117792484,18.5
0.0040536174812759625,128.61666666666667,0.43466966503811283,0.283411771158106,19.0
0.0040417860162535076,129.73333333333332,0.4335858178087026,0.28176761886562574,19.5
0.0040417860162535076,129.73333333333332,0.4335858178087026,0.28176761886562574,20.0
0.003795450458869937,131.8,0.411656301743381,0.24817469516235313,20.5
