month,final_corpus_value,total_return,num_trades,avg_daily_return,mean_performance,selected_performance,avg_performance_difference
2018-01-01,0.9759938992052584,-0.024006100794741636,110,-0.0010437435128148535,-0.0013451601320138159,-0.0008632498646938561,0.00048191026731995946
2018-02-01,0.9848908695176274,-0.015109130482372612,187,-0.0007554565241186373,-0.0008220538645066107,-0.0004787249608084182,0.00034332890369819256
2018-03-01,1.0033953857224172,0.0033953857224171546,16,0.0003086714293106712,0.002923605612941065,0.0009166138215527011,-0.0020069917913883633
2018-04-01,1.0516845232300907,0.05168452323009065,63,0.002461167772861448,0.0005120921686635511,0.0034993794483928337,0.0029872872797292826
2018-05-01,0.9782288375621109,-0.021771162437889124,112,-0.0007775415156389021,0.0006551755054550549,-0.0001906874497387669,-0.0008458629551938229
2018-06-01,0.9616110578364138,-0.03838894216358624,15,-0.0029529955510451044,-0.0013135972859141041,-0.0032694052728224994,-0.0019558079869083952
2018-07-01,1.0130724737998344,0.01307247379983445,35,0.0008170296124896483,-0.001488256025253232,0.001601485051188429,0.003089741076441661
2018-08-01,1.0387217886776703,0.03872178867767029,100,0.0018438946989366985,-0.00040518137746474133,0.002725093998368517,0.003130275375833258
2018-09-01,0.8400552683452527,-0.15994473165474732,18,-0.013328727637895601,-0.00883285899695597,-0.017324490691033114,-0.008491631694077146
2018-10-01,0.9844731977083981,-0.01552680229160186,86,-0.0008172001206106231,-0.0007398589169118798,-0.0004865864355210961,0.000253272481390784
2018-11-01,0.8452259655672745,-0.15477403443272553,82,-0.009104354966630906,-0.005879029713676109,-0.011831024583875374,-0.005951994870199264
2018-12-01,1.0573894017094019,0.05738940170940188,1,0.057389401709401766,0.028569858177737266,0.0721367521367522,0.04356689395901494
2019-01-01,0.979784387299855,-0.020215612700145047,11,-0.0028879446714492885,-0.004446342375916012,-0.0031508950673939545,0.0012954473085220568
2019-02-01,1.0481565056189417,0.04815650561894169,8,0.009631301123788339,0.0014219219909462756,0.01242649288503695,0.011004570894090675
2019-03-01,1.0051444887528922,0.005144488752892196,5,0.0010288977505784158,0.002824580845077189,0.0016962565176521804,-0.0011283243274250085
2019-04-01,0.9681369805055434,-0.03186301949445658,21,-0.0028966381358596876,-0.005257154307491189,-0.0031959522227555798,0.002061202084735608
2019-05-01,1.0462080366256945,0.046208036625694504,26,0.003300574044692484,-0.0018510408096908883,0.004609206461214433,0.006460247270905321
2019-06-01,1.056594156996394,0.05659415699639392,9,0.009432359499398996,0.004204628670227316,0.012098782274258667,0.007894153604031352
2019-07-01,0.827626529635605,-0.172373470364395,67,-0.006894938814575782,-0.00721124489611754,-0.008849013770102998,-0.001637768873985458
2019-08-01,0.9984114956135747,-0.0015885043864253268,60,-8.825024369029015e-05,-0.0005090263647826187,0.00047079642835961736,0.0009798227931422353
2019-09-01,1.0939553379225035,0.09395533792250355,9,0.011744417240312947,-0.00020116150919135883,0.01524950194325105,0.01545066345244241
2019-10-01,0.9855367779570061,-0.014463222042993884,28,-0.0012052685035828443,-0.0017377547074937827,-0.0010227256014139893,0.0007150291060797924
2019-11-01,1.0208190449584105,0.02081904495841047,57,0.0010409522479205052,-0.002324538657104773,0.0017223327372813805,0.004046871394386153
2019-12-01,1.003008925389681,0.0030089253896810053,17,0.0002735386717891959,-0.0016554780959425607,0.0007707921647050601,0.002426270260647622
2020-01-01,0.9727642042929235,-0.02723579570707646,29,-0.0020950612082366532,-0.0017397526434421832,-0.002198599203910902,-0.0004588465604687189
2020-02-01,0.9545952043018069,-0.04540479569819311,71,-0.0025224886498996044,-0.004327064920389552,-0.0027725646845831934,0.0015545002358063583
2020-03-01,1.011274227542415,0.011274227542414916,17,0.0010249297765831853,0.0022870553243855,0.0023210774528026733,3.4022128417173705e-05
2020-04-01,1.2025127966911002,0.20251279669110023,49,0.011250710927283346,0.004452697501864971,0.013725754573092212,0.009273057071227242
2020-05-01,0.8289513395155197,-0.1710486604844803,80,-0.006841946419379221,-0.0054711945866958815,-0.008645934748066382,-0.0031747401613705043
2020-06-01,0.9343760367520171,-0.06562396324798292,63,-0.0025239985864608907,-0.002568219936139821,-0.0022661759536446806,0.00030204398249514025
2020-07-01,0.873583442319205,-0.12641655768079496,128,-0.004682094728918334,-0.002879238554634166,-0.005721418536457422,-0.0028421799818232553
2020-08-01,0.913694959647134,-0.08630504035286601,22,-0.005394065022054117,-0.003763618015472349,-0.006165286628793659,-0.0024016686133213113
2020-09-01,1.0008583273804135,0.0008583273804134706,7,0.0001430545634021974,-0.002869889399684069,0.0015887603952324909,0.004458649794916561
2020-10-01,0.9638242307650928,-0.036175769234907174,59,-0.0021279864255827744,-0.0004078369931627736,-0.002175744815320654,-0.0017679078221578808
2020-11-01,0.9458845005144408,-0.05411549948555916,80,-0.004162730729658389,0.002071488287704191,-0.004911503073510908,-0.006982991361215098
2020-12-01,1.0392450129898574,0.039245012989857386,21,0.003270417749154786,-0.0022123679950940066,0.004608207366311598,0.006820575361405603
2021-01-01,0.971018255620423,-0.028981744379577012,20,-0.001932116291971792,0.000463103836134198,-0.0019161008302349878,-0.0023792046663691857
2021-02-01,0.8718701611276922,-0.12812983887230778,38,-0.006743675730121457,-0.005012101419233792,-0.008452193519320939,-0.003440092100087147
2021-03-01,1.0382240387735209,0.038224038773520874,15,0.00764480775470418,0.004500851674435423,0.009861172221899712,0.0053603205474642875
2021-04-01,0.9860087850182606,-0.013991214981739386,8,-0.0027982429963478495,-0.003422712997861318,-0.0027771104248147426,0.0006456025730465755
