date,num_selected_authors,mean_performance,selected_authors_performance,performance_difference,daily_return,corpus_value
2021-12-03,1,-0.009326686112694261,-0.0074462365591397,0.0018804495535545609,-0.00627698924731176,0.9937230107526882
2021-12-08,1,-0.0177454163303403,-0.0274639657187377,-0.009718549388397401,-0.02215125112442698,0.9715717596282613
2021-12-09,2,0.020598384461723476,0.007962523818049499,-0.012635860643673977,0.005878027658506391,0.9774497872867677
2021-12-10,1,0.006110087391600001,-0.0037762237762238,-0.009886311167823802,-0.003265639233385516,0.9741841480533822
2021-12-13,1,-0.00658019589902942,-0.0526351813826147,-0.04605498548358528,-0.04133282639366328,0.9328513216597188
2021-12-16,1,-0.0034459618679105594,0.0344745032319846,0.03792046509989516,0.025429156299884164,0.958280477959603
2021-12-20,1,0.0192502021647246,0.0166832394210584,-0.0025669627436662006,0.012483128364113994,0.970763606323717
2021-12-24,1,-0.012590503286227798,0.0120182094081942,0.024608712694421997,0.009022827891298194,0.9797864342150152
2021-12-29,1,-0.0015538804738722003,-0.0162514827995255,-0.014697602325653298,-0.0130519175652318,0.9667345166497834
2021-12-31,2,0.0003904884494134334,0.0056683773022193,0.005277888852805867,0.004074497747831732,0.9708090143976151
