mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,std_monthly_corpus_return,min_monthly_corpus_return,min_month,max_monthly_corpus_return,max_month,median_monthly_corpus_return,mode_monthly_corpus_return,k_percent
-0.005715483060555635,37.71666666666667,-0.18093495749886684,0.004209961184927525,0.03091529328418402,-0.058890988780169407,2020-03-01,0.08584807280461626,2022-03-01,0.0,0.0,1.0
-0.005715483060555635,37.71666666666667,-0.18093495749886684,0.004209961184927525,0.03091529328418402,-0.058890988780169407,2020-03-01,0.08584807280461626,2022-03-01,0.0,0.0,1.5
-0.005715483060555635,37.71666666666667,-0.18093495749886684,0.004209961184927525,0.03091529328418402,-0.058890988780169407,2020-03-01,0.08584807280461626,2022-03-01,0.0,0.0,2.0
-0.003238867374998579,49.75,-0.15987500503104865,0.006681238091108376,0.03500917499486537,-0.058890988780169407,2020-03-01,0.13856549279428654,2018-07-01,0.0,0.0,2.5
-0.0025028491828605485,70.5,-0.10808544824167199,0.008997514678111728,0.04636810781222444,-0.11214579514565237,2022-05-01,0.13856549279428654,2018-07-01,0.0018969588500319379,-0.11214579514565237,3.0
-0.0024043229599768332,75.35,-0.10190854876254721,0.008882573530698896,0.046426431137963575,-0.11214579514565237,2022-05-01,0.13856549279428654,2018-07-01,0.0018969588500319379,-0.11214579514565237,3.5
-0.0024043229599768332,75.35,-0.10190854876254721,0.008882573530698896,0.046426431137963575,-0.11214579514565237,2022-05-01,0.13856549279428654,2018-07-01,0.0018969588500319379,-0.11214579514565237,4.0
-0.0024043229599768332,75.35,-0.10190854876254721,0.008882573530698896,0.046426431137963575,-0.11214579514565237,2022-05-01,0.13856549279428654,2018-07-01,0.0018969588500319379,-0.11214579514565237,4.5
-0.002207356555006258,83.41666666666667,-0.1536947255106987,0.008744466684844144,0.045920365075476734,-0.11214579514565237,2022-05-01,0.12732462395497035,2018-07-01,0.001332392637901414,-0.11214579514565237,5.0
-0.0021903403682095356,86.93333333333334,-0.18649010212996905,0.009335274078801267,0.04899649185566077,-0.11214579514565237,2022-05-01,0.13977014166814716,2020-02-01,0.002951680824863745,-0.11214579514565237,5.5
-0.0025088143079552696,102.61666666666666,-0.1549001927597353,0.005630517068161055,0.047725779235544594,-0.11214579514565237,2022-05-01,0.13977014166814716,2020-02-01,0.0030362572603205296,-0.11214579514565237,6.0
-0.0024070408518374288,104.83333333333333,-0.16248772755622767,0.005430370994203458,0.04774723981830017,-0.11214579514565237,2022-05-01,0.13977014166814716,2020-02-01,0.002803803804544369,-0.11214579514565237,6.5
-0.0025908726562338578,106.56666666666666,-0.17768902646482113,0.00451257103204969,0.048601794152155396,-0.11214579514565237,2022-05-01,0.13977014166814716,2020-02-01,0.0003278711370002796,-0.11214579514565237,7.0
-0.0026961493959358103,109.83333333333333,-0.19557769139468367,0.004249899396659278,0.04856841409563903,-0.11214579514565237,2022-05-01,0.13977014166814716,2020-02-01,0.0005389314695528613,-0.11214579514565237,7.5
-0.002510058767233757,110.66666666666667,-0.19708120794882839,0.0038002730515034775,0.05023778247059368,-0.11214579514565237,2022-05-01,0.13977014166814716,2020-02-01,0.0005389314695528613,-0.11214579514565237,8.0
-0.00024164008200910643,114.58333333333333,-0.17988494311782952,0.002770153299463836,0.049331046428979446,-0.10670084936682123,2022-05-01,0.13977014166814716,2020-02-01,0.0005389314695528613,-0.10670084936682123,8.5
-3.72175050986298e-05,117.13333333333334,-0.13168414116068664,0.0022430177703338123,0.049097501325684745,-0.10670084936682123,2022-05-01,0.13977014166814716,2020-02-01,0.0005389314695528613,-0.10670084936682123,9.0
-1.1171390784842322e-05,119.36666666666666,-0.12160669483482786,0.0019155351075865726,0.04929762100989107,-0.10670084936682123,2022-05-01,0.13977014166814716,2020-02-01,0.0005389314695528613,-0.10670084936682123,9.5
-5.745978397843579e-07,122.25,-0.11512248546940096,0.0013620167918945005,0.04966296110588845,-0.10670084936682123,2022-05-01,0.13977014166814716,2020-02-01,0.0003612081485022123,-0.10670084936682123,10.0
5.9890068245863744e-05,123.38333333333334,-0.10726189164051855,0.0019184989664028412,0.04948409858481346,-0.10670084936682123,2022-05-01,0.14189592984924415,2020-02-01,-0.00023964520530556088,-0.10670084936682123,10.5
-0.000256597533693598,124.21666666666667,-0.10687656869625237,0.001140279980181253,0.04891674370207034,-0.10670084936682123,2022-05-01,0.14189592984924415,2020-02-01,-0.00023964520530556088,-0.10670084936682123,11.0
-0.0002981158650478995,131.25,-0.14822405142926307,0.0004762781664567607,0.04808010665821179,-0.1034279893223714,2020-03-01,0.14189592984924415,2020-02-01,-0.00025723401517396827,-0.1034279893223714,11.5
-0.0005538320684099186,135.3,-0.13909737322894367,-0.0001251352618517935,0.04744669266959131,-0.1034279893223714,2020-03-01,0.14189592984924415,2020-02-01,-0.00025723401517396827,-0.1034279893223714,12.0
-0.0006532689886463413,137.9,-0.16642997422341152,0.0012498139080404876,0.047242097591806004,-0.1034279893223714,2020-03-01,0.14189592984924415,2020-02-01,0.0007312544882893679,-0.1034279893223714,12.5
-0.0006659744580281299,137.91666666666666,-0.16704470702288854,0.0011384141137274198,0.04726199238883516,-0.1034279893223714,2020-03-01,0.14189592984924415,2020-02-01,0.0007312544882893679,-0.1034279893223714,13.0
-0.0006687895637492712,138.16666666666666,-0.16686783040070371,0.0012531534696241682,0.04742967196952199,-0.1034279893223714,2020-03-01,0.14189592984924415,2020-02-01,0.0007312544882893679,-0.1034279893223714,13.5
