month,Sector,author,mean,count,cumulative_performance,avg_monthly_predictions
2014-06-01,Consumer Goods,Chola Wealth Direct,-0.0039929355755202,1,-0.0039929355755202,1.25
2014-06-01,Energy,Chola Wealth Direct,0.0854506742370476,1,0.0854506742370476,1.0
2014-06-01,Finance,Chola Wealth Direct,0.1387096774193548,1,0.1387096774193548,5.368421052631579
2014-06-01,Healthcare,Chola Wealth Direct,0.0116279069767441,1,0.0116279069767441,1.6538461538461537
2014-07-01,Finance,Chola Wealth Direct,0.010596383087972287,7,0.1493060605073271,5.368421052631579
2014-07-01,Manufacturing,Chola Wealth Direct,-0.03460346782725356,3,-0.03460346782725356,3.9655172413793105
2014-07-01,Technology,Chola Wealth Direct,0.0365900139753525,1,0.0365900139753525,2.3846153846153846
2014-08-01,Consumer Goods,Chola Wealth Direct,0.0272427626453356,2,0.0232498270698154,1.25
2014-08-01,Finance,Chola Wealth Direct,-0.0028653233641670263,4,0.14644073714316005,5.368421052631579
2014-08-01,Healthcare,Chola Wealth Direct,0.0549604185797816,2,0.0665883255565257,1.6538461538461537
2014-08-01,Healthcare,Reliance Securities,-0.068324607329843,1,-0.068324607329843,3.95
2014-08-01,Manufacturing,Chola Wealth Direct,-0.021035303216399032,3,-0.0556387710436526,3.9655172413793105
2014-08-01,Technology,Chola Wealth Direct,0.04847042234145413,4,0.08506043631680663,2.3846153846153846
2014-10-01,Finance,Chola Wealth Direct,0.03599088702052209,7,0.18243162416368214,5.368421052631579
2014-10-01,Manufacturing,Ashika Research,0.0868279569892473,1,0.0868279569892473,1.2857142857142858
2014-10-01,Technology,Chola Wealth Direct,0.030831963616700864,3,0.11589239993350749,2.3846153846153846
2014-11-01,Finance,Chola Wealth Direct,0.030081919169563164,3,0.21251354333324532,5.368421052631579
2014-11-01,Healthcare,Chola Wealth Direct,-0.023793770773211598,3,0.0427945547833141,1.6538461538461537
2014-11-01,Technology,Chola Wealth Direct,0.041265004621653265,5,0.15715740455516075,2.3846153846153846
2014-12-01,Finance,Ashika Research,0.0062321844173656,2,0.0062321844173656,1.2
2015-01-01,Finance,Chola Wealth Direct,0.0012508386900752547,11,0.21376438202332057,5.368421052631579
2015-01-01,Healthcare,Chola Wealth Direct,0.0264794121483542,1,0.0692739669316683,1.6538461538461537
2015-01-01,Technology,Chola Wealth Direct,-0.0042731157377943,1,0.15288428881736646,2.3846153846153846
2015-01-01,Technology,Karvy,-0.0073084596333771006,2,-0.0073084596333771006,3.0
2015-02-01,Agriculture,Chola Wealth Direct,0.0150703324537364,1,0.0150703324537364,1.0
2015-02-01,Agriculture,Karvy,-0.00987626792178345,2,-0.00987626792178345,2.0
2015-02-01,Finance,Karvy,0.035348344495715535,3,0.035348344495715535,2.6666666666666665
