mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,std_monthly_corpus_return,min_monthly_corpus_return,min_month,max_monthly_corpus_return,max_month,median_monthly_corpus_return,mode_monthly_corpus_return,avg_min_available_cash,k_percent
-0.0035316918105299856,38.81666666666667,-0.1258304766433903,0.00545000462393308,0.041090964161028955,-0.12572361993081949,2022-05-01,0.15058432673780064,2020-02-01,0.0,0.0,0.02826334364595687,1.0
-0.0035316918105299856,38.81666666666667,-0.1258304766433903,0.00545000462393308,0.041090964161028955,-0.12572361993081949,2022-05-01,0.15058432673780064,2020-02-01,0.0,0.0,0.02826334364595687,1.5
-0.0035316918105299856,38.81666666666667,-0.1258304766433903,0.00545000462393308,0.041090964161028955,-0.12572361993081949,2022-05-01,0.15058432673780064,2020-02-01,0.0,0.0,0.02826334364595687,2.0
-0.0013170565670651343,52.93333333333333,-0.14684733499886143,0.004182316457501556,0.041347037200437836,-0.12572361993081949,2022-05-01,0.15058432673780064,2020-02-01,5.943501588345779e-05,0.0,0.015225604386632712,2.5
-0.004015994242150306,74.08333333333333,-0.18714448327307875,0.0037810430886519547,0.047628964527727365,-0.10519104312941319,2022-05-01,0.15006931306315519,2020-02-01,0.001190122354601808,-0.10519104312941319,0.0029850084730238687,3.0
-0.004119581115199106,76.13333333333334,-0.17714096308143662,0.003788074544431802,0.047159848824519096,-0.10519104312941319,2022-05-01,0.15006931306315519,2020-02-01,0.00047534365337975615,-0.10519104312941319,0.002917612389371928,3.5
-0.004119581115199106,76.13333333333334,-0.17714096308143662,0.003788074544431802,0.047159848824519096,-0.10519104312941319,2022-05-01,0.15006931306315519,2020-02-01,0.00047534365337975615,-0.10519104312941319,0.002917612389371928,4.0
-0.004119581115199106,76.13333333333334,-0.17714096308143662,0.003788074544431802,0.047159848824519096,-0.10519104312941319,2022-05-01,0.15006931306315519,2020-02-01,0.00047534365337975615,-0.10519104312941319,0.002917612389371928,4.5
-0.004226402255356545,85.08333333333333,-0.20964865856562453,0.004159890640687011,0.04840830092855001,-0.10519104312941319,2022-05-01,0.15006931306315519,2020-02-01,0.0028665895552244525,-0.10519104312941319,0.002805062959492269,5.0
-0.0003639589059180198,89.46666666666667,-0.20176616508348308,0.0038808436947267854,0.04749252206480837,-0.10519104312941319,2022-05-01,0.13977014166814716,2020-02-01,0.0028707208969978026,-0.10519104312941319,0.002784961535088117,5.5
