mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,std_monthly_corpus_return,min_monthly_corpus_return,min_month,max_monthly_corpus_return,max_month,median_monthly_corpus_return,mode_monthly_corpus_return,avg_min_available_cash,k_percent
-0.006095563780295833,46.56666666666667,-0.2759431867252751,0.00018926898702803773,0.031845354177952,-0.0514578461226457,2018-02-01,0.08830614618325683,2020-06-01,0.0,0.0,0.014170288633601398,1.0
-0.006095563780295833,46.56666666666667,-0.2759431867252751,0.00018926898702803773,0.031845354177952,-0.0514578461226457,2018-02-01,0.08830614618325683,2020-06-01,0.0,0.0,0.014170288633601398,1.5
-0.006095563780295833,46.56666666666667,-0.2759431867252751,0.00018926898702803773,0.031845354177952,-0.0514578461226457,2018-02-01,0.08830614618325683,2020-06-01,0.0,0.0,0.014170288633601398,2.0
-0.0007812905556624929,66.9,-0.32228596961935424,-0.003833924152787303,0.01852775155524399,-0.04002902294466637,2022-12-01,0.04051555345338809,2022-08-01,-0.0010071395804780447,0.0,0.03157943735976689,2.5
-0.0013254160293280962,83.6,-0.30373314118014877,0.0020206330048357507,0.019169361815688533,-0.02129563054520578,2019-08-01,0.04051555345338809,2022-08-01,-0.0010071395804780447,0.0,0.023330031381017708,3.0
-0.0013254160293280962,83.6,-0.30373314118014877,0.0020206330048357507,0.019169361815688533,-0.02129563054520578,2019-08-01,0.04051555345338809,2022-08-01,-0.0010071395804780447,0.0,0.023330031381017708,3.5
-0.0013254160293280962,83.6,-0.30373314118014877,0.0020206330048357507,0.019169361815688533,-0.02129563054520578,2019-08-01,0.04051555345338809,2022-08-01,-0.0010071395804780447,0.0,0.023330031381017708,4.0
-0.0013670792916947742,86.58333333333333,-0.3385879538639329,0.0020206330048357507,0.019169361815688533,-0.02129563054520578,2019-08-01,0.04051555345338809,2022-08-01,-0.0010071395804780447,0.0,0.023331350737171713,4.5
-0.0011360826990246694,90.63333333333334,-0.3408837682995241,0.0043817333411673015,0.015387300442373502,-0.015123284858787556,2019-05-01,0.03556669842554805,2022-08-01,0.0,0.0,0.00963739098382803,5.0
-0.0009388313769142395,93.35,-0.32856959736201846,0.0043817333411673015,0.015387300442373502,-0.015123284858787556,2019-05-01,0.03556669842554805,2022-08-01,0.0,0.0,0.00625067541483872,5.5
-0.0009388313769142395,93.35,-0.32856959736201846,0.0043817333411673015,0.015387300442373502,-0.015123284858787556,2019-05-01,0.03556669842554805,2022-08-01,0.0,0.0,0.00625067541483872,6.0
-0.0007774186672271086,94.45,-0.3257664324677085,0.0043817333411673015,0.015387300442373502,-0.015123284858787556,2019-05-01,0.03556669842554805,2022-08-01,0.0,0.0,0.006305847828631823,6.5
-0.0007751991766722963,97.68333333333334,-0.33606571303718275,0.005929564435540574,0.014051009025638926,-0.007586114803459498,2019-05-01,0.03556669842554805,2022-08-01,0.0024204344193817784,-0.007586114803459498,0.0063879096321166505,7.0
-0.0008299916833054285,101.13333333333334,-0.35925041433320204,0.006175361532988382,0.015186638074296845,-0.007586114803459498,2019-05-01,0.037684488350987255,2022-08-01,0.004840868838763557,-0.007586114803459498,0.006269211139989499,7.5
-0.0009367497837299355,109.3,-0.3652990492668698,0.006257446086502456,0.015135008697467584,-0.007586114803459498,2019-05-01,0.037684488350987255,2022-08-01,0.004840868838763557,-0.007586114803459498,0.005729577732072304,8.0
-0.0009391189083367038,110.2,-0.3601807024018474,0.006257446086502456,0.015135008697467584,-0.007586114803459498,2019-05-01,0.037684488350987255,2022-08-01,0.004840868838763557,-0.007586114803459498,0.0057186239964707635,8.5
-0.0008204564448320905,112.2,-0.3504606467967278,0.006257446086502456,0.015135008697467584,-0.007586114803459498,2019-05-01,0.037684488350987255,2022-08-01,0.004840868838763557,-0.007586114803459498,0.005710446830059773,9.0
-0.0009020147842840116,112.86666666666666,-0.3552493335945552,0.00917252372136693,0.016711729263006955,-0.0075869121766443115,2019-05-01,0.037684488350987255,2022-08-01,0.004840868838763557,-0.0075869121766443115,0.00577671494401664,9.5
-0.000993211101347276,115.33333333333333,-0.37262241520250006,0.002706164268755362,0.013100109129386436,-0.0075869121766443115,2019-05-01,0.025284656318025123,2019-03-01,-0.0016698637671817007,-0.0075869121766443115,0.0037124921251902396,10.0
-0.0012550939422910062,123.06666666666666,-0.4190127944594057,0.002669767603239381,0.013115550497783868,-0.0075869121766443115,2019-05-01,0.025284656318025123,2019-03-01,-0.001851847094761605,-0.0075869121766443115,0.003677539266817539,10.5
-0.00117432507246473,125.4,-0.42536458808933447,0.002669767603239381,0.013115550497783868,-0.0075869121766443115,2019-05-01,0.025284656318025123,2019-03-01,-0.001851847094761605,-0.0075869121766443115,0.0036100176258733892,11.0
-0.001267804251478503,125.86666666666666,-0.4263887034642678,-0.0026753340480224043,0.0036693483183769765,-0.007834980820825788,2019-05-01,0.0019363475355054227,2020-04-01,-0.001851847094761605,-0.007834980820825788,0.0035548452120802844,11.5
-0.0009174385648820226,126.83333333333333,-0.4275391462481003,-0.0022358159185460746,0.004082194859122412,-0.007834980820825788,2019-05-01,0.0019363475355054227,2020-04-01,-0.0015223151944319668,-0.007834980820825788,0.0034487721546906554,12.0
-0.0009904683415916,129.26666666666668,-0.4468003240737749,-0.0022358159185460746,0.004082194859122412,-0.007834980820825788,2019-05-01,0.0019363475355054227,2020-04-01,-0.0015223151944319668,-0.007834980820825788,0.003437738701628679,12.5
