mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,std_monthly_corpus_return,min_monthly_corpus_return,min_month,max_monthly_corpus_return,max_month,median_monthly_corpus_return,mode_monthly_corpus_return,avg_min_available_cash,k_percent
-0.0042496533406533735,43.05,-0.28105076811453045,0.0022698101164730718,0.02812105915383962,-0.04321632192863589,2018-02-01,0.08120072292638958,2020-03-01,0.0,0.0,0.03846121964798926,1.0
-0.0042496533406533735,43.05,-0.28105076811453045,0.0022698101164730718,0.02812105915383962,-0.04321632192863589,2018-02-01,0.08120072292638958,2020-03-01,0.0,0.0,0.03846121964798926,1.5
-0.0042496533406533735,43.05,-0.28105076811453045,0.0022698101164730718,0.02812105915383962,-0.04321632192863589,2018-02-01,0.08120072292638958,2020-03-01,0.0,0.0,0.03846121964798926,2.0
-0.0009711246376699499,66.43333333333334,-0.3291813952369112,-0.000827544397635667,0.025050078822493473,-0.048195675816002925,2020-03-01,0.05162583243031005,2020-06-01,-0.0009731662666490615,0.0,0.006738365133326783,2.5
-0.0006373863585707517,74.01666666666667,-0.3052574956646086,0.0039025651842848506,0.03112304964360678,-0.048195675816002925,2020-03-01,0.07958431849501313,2021-02-01,0.0,0.0,0.010333623488236576,3.0
-0.0006373863585707517,74.01666666666667,-0.3052574956646086,0.0039025651842848506,0.03112304964360678,-0.048195675816002925,2020-03-01,0.07958431849501313,2021-02-01,0.0,0.0,0.010333623488236576,3.5
-0.0006373863585707517,74.01666666666667,-0.3052574956646086,0.0039025651842848506,0.03112304964360678,-0.048195675816002925,2020-03-01,0.07958431849501313,2021-02-01,0.0,0.0,0.010333623488236576,4.0
-0.0010468427175944124,78.8,-0.34413193065341247,0.002804547583193279,0.032479341197624266,-0.048195675816002925,2020-03-01,0.07958431849501313,2021-02-01,0.0,0.0,0.014545404281747321,4.5
-0.0009528063968440052,81.78333333333333,-0.31970928724412845,0.005649628416798342,0.038740024326586284,-0.048195675816002925,2020-03-01,0.07958431849501313,2021-02-01,-0.004179356707916249,-0.048195675816002925,0.011446580608530354,5.0
-0.0010770157131639226,85.28333333333333,-0.31149883103921344,0.00026772838848093054,0.029430895622630335,-0.048195675816002925,2020-03-01,0.04411595859841433,2022-08-01,-0.004179356707916249,-0.048195675816002925,0.0076551323326682795,5.5
-0.0010770157131639226,85.28333333333333,-0.31149883103921344,0.00026772838848093054,0.029430895622630335,-0.048195675816002925,2020-03-01,0.04411595859841433,2022-08-01,-0.004179356707916249,-0.048195675816002925,0.0076551323326682795,6.0
-0.0010560050582491569,87.6,-0.3140756080968145,0.001020742324049954,0.029509818611117657,-0.048195675816002925,2020-03-01,0.04411595859841433,2022-08-01,-0.004180128668939576,-0.048195675816002925,0.005100117987228509,6.5
-0.0010859525863181423,91.9,-0.33674455360411454,0.0024899899985101953,0.02699616749981204,-0.048195675816002925,2020-03-01,0.035288779058813446,2022-08-01,0.0008125523531568035,-0.048195675816002925,0.005082987807114517,7.0
