date,Company Name,Symbol,author,Sector,expected_return,actual_return
2024-05-17,eicher motors limited,EICHERMOT,BOB Capital Markets Ltd.,Manufacturing,-1.297428577515491,0.04362365591397857
2024-05-13,eicher motors limited,EICHERMOT,ICICI Direct,Manufacturing,18.09037134054043,0.003074516861636107
2024-05-13,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,10.25346487885002,0.003074516861636107
2024-05-12,eicher motors limited,EICHERMOT,Emkay,Manufacturing,-27.00494863509989,0.003074516861636107
2024-02-14,eicher motors limited,EICHERMOT,Prabhudas Lilladhar,Manufacturing,5.0864400046135465,-0.0005505761843790245
2024-02-14,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,8.93106585844087,-0.0005505761843790245
2024-02-13,eicher motors limited,EICHERMOT,BOB Capital Markets Ltd.,Manufacturing,4.950443671838519,0.0249543438559875
2023-11-20,eicher motors limited,EICHERMOT,Geojit BNP Paribas,Manufacturing,12.64932600189786,0.00486416558861583
2023-11-13,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,9.518620959405464,0.04779072919490382
2023-11-11,eicher motors limited,EICHERMOT,Prabhudas Lilladhar,Manufacturing,7.321895078726258,0.0687325905292479
2023-08-04,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,19.50764860786461,0.015669876039822048
2023-08-04,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,13.110386807756985,0.015669876039822048
2023-05-25,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,8.256880733944955,0.008043299534118913
2023-05-12,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,16.08375179866678,-0.0003443526170798898
2023-05-12,eicher motors limited,EICHERMOT,Motilal Oswal,Manufacturing,0.6521709156589984,-0.0003443526170798898
2023-05-12,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,7.546155224950711,-0.0003443526170798898
2023-05-12,eicher motors limited,EICHERMOT,ICICI Direct,Manufacturing,14.853778592799927,-0.0003443526170798898
2023-04-17,eicher motors limited,EICHERMOT,Ventura,Manufacturing,28.646639826571697,0.005668003654778229
2023-03-23,eicher motors limited,EICHERMOT,Motilal Oswal,Manufacturing,23.817331010690992,-0.02482051282051279
2023-02-15,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,6.91149600591939,-0.011847024730100998
2023-02-15,eicher motors limited,EICHERMOT,ICICI Direct,Manufacturing,22.767014481373536,-0.011847024730100998
2023-02-15,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,13.042296483094995,-0.011847024730100998
2022-11-21,eicher motors limited,EICHERMOT,BOB Capital Markets Ltd.,Manufacturing,4.8659207955958115,-0.0009170376724991966
2022-11-15,eicher motors limited,EICHERMOT,Geojit BNP Paribas,Manufacturing,21.200501437947054,-0.035504473620574434
2022-11-11,eicher motors limited,EICHERMOT,Motilal Oswal,Manufacturing,17.909451223843277,-0.00966852781115268
2022-11-11,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,17.19915332490446,-0.00966852781115268
2022-11-11,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,6.407987354256457,-0.00966852781115268
2022-11-11,eicher motors limited,EICHERMOT,ICICI Direct,Manufacturing,22.45535777705169,-0.00966852781115268
2022-11-11,eicher motors limited,EICHERMOT,Prabhudas Lilladhar,Manufacturing,19.149178183472674,-0.00966852781115268
2022-09-24,eicher motors limited,EICHERMOT,Prabhudas Lilladhar,Manufacturing,15.890841864186974,-0.011321988637137684
2022-09-22,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,10.036678892964321,-0.05139479277364501
2022-09-09,eicher motors limited,EICHERMOT,ICICI Direct,Manufacturing,15.121816550486574,0.016590126291618882
2022-08-16,eicher motors limited,EICHERMOT,HDFC Securities,Manufacturing,-0.15128593040847746,0.02548667265648395
2022-08-16,eicher motors limited,EICHERMOT,Geojit BNP Paribas,Manufacturing,13.164349959116924,0.02548667265648395
2022-08-16,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,-6.532256856547989,0.02548667265648395
2022-08-16,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,15.103655592417798,0.02548667265648395
2022-08-11,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,15.38888272495284,0.08892385147891753
2022-08-11,eicher motors limited,EICHERMOT,ICICI Direct,Manufacturing,14.908152182467857,0.08892385147891753
2022-08-10,eicher motors limited,EICHERMOT,Prabhudas Lilladhar,Manufacturing,5.914053860411504,0.03809889434889441
2022-05-16,eicher motors limited,EICHERMOT,IDBI Capital,Manufacturing,6.419144750663694,0.015517241379310345
2022-05-16,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,-0.6856509864588636,0.015517241379310345
2022-05-15,eicher motors limited,EICHERMOT,Prabhudas Lilladhar,Manufacturing,8.944530615259612,0.015517241379310345
2022-05-15,eicher motors limited,EICHERMOT,Motilal Oswal,Manufacturing,10.773696976642038,0.015517241379310345
2022-05-15,eicher motors limited,EICHERMOT,ICICI Direct,Manufacturing,1.9464370131338213,0.015517241379310345
2022-03-14,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,9.571870069806133,0.05040948275862061
2022-02-17,eicher motors limited,EICHERMOT,Geojit BNP Paribas,Manufacturing,15.661757895711773,0.008249482095294533
2022-02-15,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,2.4229074889867843,-0.0032311669128508125
2022-02-15,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,2.7900146842878124,-0.0032311669128508125
2022-02-15,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,2.4229074889867843,-0.0032311669128508125
2022-02-15,eicher motors limited,EICHERMOT,Prabhudas Lilladhar,Manufacturing,14.76288126512591,-0.0032311669128508125
2021-11-10,eicher motors limited,EICHERMOT,Geojit BNP Paribas,Manufacturing,6.867425633492472,-0.016721611721611754
2021-11-08,eicher motors limited,EICHERMOT,Axis Direct,Manufacturing,5.117565698478561,0.001166148378498479
2021-11-04,eicher motors limited,EICHERMOT,Motilal Oswal,Manufacturing,22.10700330628194,0.0080741352417653
2021-08-17,eicher motors limited,EICHERMOT,Geojit BNP Paribas,Manufacturing,12.467088194030708,0.007125890736342043
2021-08-13,eicher motors limited,EICHERMOT,Prabhudas Lilladhar,Manufacturing,8.798918768509129,0.013958496476115932
2021-08-13,eicher motors limited,EICHERMOT,ICICI Securities Limited,Manufacturing,14.653683053243277,0.013958496476115932
2021-08-12,eicher motors limited,EICHERMOT,BOB Capital Markets Ltd.,Manufacturing,-13.617088110570133,-0.023048543689320352
2021-05-31,eicher motors limited,EICHERMOT,IDBI Capital,Manufacturing,-4.175471835604457,0.060440613026819925
