month,Sector,author,mean,count,cumulative_performance,avg_monthly_predictions
2014-06-01,Agriculture,Chola Wealth Direct,0.0058496732026144,1,0.0058496732026144,1.0
2014-06-01,Energy,Chola Wealth Direct,-0.0079488999290274,1,-0.0079488999290274,1.0
2014-06-01,Finance,Chola Wealth Direct,0.0580645161290322,1,0.0580645161290322,3.8461538461538463
2014-06-01,Healthcare,Chola Wealth Direct,-0.0098837209302326,1,-0.0098837209302326,1.6842105263157894
2014-07-01,Finance,Chola Wealth Direct,0.0049445551060092,7,0.0630090712350414,3.8461538461538463
2014-07-01,Healthcare,Reliance Securities,-0.0386354295108918,1,-0.0386354295108918,3.625
2014-07-01,Technology,Chola Wealth Direct,-0.0262990725447847,1,-0.0262990725447847,2.533333333333333
2014-08-01,Energy,Chola Wealth Direct,0.0107908935386234,1,0.0028419936095959997,1.0
2014-08-01,Finance,Chola Wealth Direct,0.0027234793516238754,4,0.06573255058666527,3.8461538461538463
2014-08-01,Healthcare,Chola Wealth Direct,0.0028126020164917997,2,-0.0070711189137407995,1.6842105263157894
2014-08-01,Healthcare,Reliance Securities,-0.0006544502617801,1,-0.0392898797726719,3.625
2014-08-01,Technology,Chola Wealth Direct,-0.01096644402922275,4,-0.03726551657400745,2.533333333333333
2014-10-01,Finance,Chola Wealth Direct,-0.004784328039312329,7,0.060948222547352944,3.8461538461538463
2014-10-01,Manufacturing,Ashika Research,0.0008064516129032,1,0.0008064516129032,1.4
2014-10-01,Technology,Chola Wealth Direct,0.015512473988622334,3,-0.021753042585385116,2.533333333333333
2014-10-01,Unknown,Chola Wealth Direct,-0.0059609120521172,1,-0.0059609120521172,1.0
2014-11-01,Energy,Chola Wealth Direct,0.0162501538840328,1,0.0190921474936288,1.0
2014-11-01,Finance,Chola Wealth Direct,0.02992022054393223,3,0.09086844309128517,3.8461538461538463
2014-11-01,Healthcare,Chola Wealth Direct,-0.013207025002401734,3,-0.020278143916142535,1.6842105263157894
2014-11-01,Technology,Karvy,0.0007859590459512499,2,0.0007859590459512499,3.1538461538461537
2014-11-01,Technology,Chola Wealth Direct,-0.002974473926058899,5,-0.024727516511444014,2.533333333333333
2014-11-01,Unknown,Chola Wealth Direct,0.0084883720930232,1,0.0025274600409059995,1.0
2014-12-01,Finance,Ashika Research,0.02090095127569415,2,0.02090095127569415,1.1875
2014-12-01,Technology,Karvy,-0.0106750392464677,1,-0.009889080200516449,3.1538461538461537
2015-01-01,Healthcare,Chola Wealth Direct,-0.0033044914996303,1,-0.023582635415772834,1.6842105263157894
2015-01-01,Healthcare,Reliance Securities,-0.0118012422360248,1,-0.0510911220086967,3.625
2015-01-01,Technology,Chola Wealth Direct,-0.0045458678061641,1,-0.029273384317608113,2.533333333333333
2015-01-01,Technology,Karvy,-0.007017011950625001,2,-0.01690609215114145,3.1538461538461537
2015-01-01,Unknown,Chola Wealth Direct,0.0115176779373165,1,0.014045137978222499,1.0
2015-02-01,Agriculture,Chola Wealth Direct,0.0023846535051864,1,0.0082343267078008,1.0
2015-02-01,Agriculture,Karvy,0.00021233426435590002,2,0.00021233426435590002,2.0
2015-02-01,Energy,Chola Wealth Direct,-0.0042739979207578,1,0.014818149572871002,1.0
2015-02-01,Technology,Karvy,0.0068337129840547,1,-0.01007237916708675,3.1538461538461537
2015-02-01,Technology,Chola Wealth Direct,0.00231615779792055,4,-0.026957226519687565,2.533333333333333
2015-03-01,Finance,HDFC Securities,0.0074013900171493,1,0.0074013900171493,11.481481481481481
2015-03-01,Finance,Karvy,-0.002340594208917,1,-0.002340594208917,2.875
2015-03-01,Manufacturing,Karvy,0.0157489180535519,2,0.0157489180535519,4.571428571428571
2015-03-01,Technology,Karvy,-0.0140217391304347,1,-0.02409411829752145,3.1538461538461537
2015-04-01,Energy,HDFC Securities,0.0210045662100456,1,0.0210045662100456,2.84
2015-04-01,Finance,Karvy,-0.006713546747266139,5,-0.009054140956183138,2.875
2015-04-01,Finance,HDFC Securities,-0.015166605022249138,8,-0.007765215005099838,11.481481481481481
2015-04-01,Manufacturing,Karvy,-0.0052337658834002,1,0.0105151521701517,4.571428571428571
2015-04-01,Technology,Karvy,0.012634869226279,1,-0.011459249071242449,3.1538461538461537
2015-04-01,Technology,Chola Wealth Direct,0.0110416666666666,1,-0.015915559853020962,2.533333333333333
2015-04-01,Unknown,Karvy,0.0062444733004899,2,0.0062444733004899,2.0
2015-04-01,Unknown,Chola Wealth Direct,0.0053426248548199,1,0.0193877628330424,1.0
2015-05-01,Energy,Phillip Capital,0.0087074303405572,1,0.0087074303405572,3.125
2015-05-01,Finance,HDFC Securities,0.016230592124744,9,0.00846537711964416,11.481481481481481
2015-05-01,Healthcare,Karvy,-0.0309575950627115,1,-0.0309575950627115,2.5
2015-05-01,Manufacturing,Karvy,0.00405534261726155,6,0.014570494787413249,4.571428571428571
2015-05-01,Manufacturing,BOB Capital Markets Ltd.,-0.004096014909454349,2,-0.004096014909454349,5.2
2015-05-01,Real Estate,Chola Wealth Direct,-0.0028688524590163,1,-0.0028688524590163,1.0
2015-05-01,Technology,Chola Wealth Direct,-0.00016741836114269985,3,-0.016082978214163664,2.533333333333333
2015-05-01,Technology,Karvy,-0.0014296824958594332,3,-0.012888931567101882,3.1538461538461537
2015-05-01,Telecommunications,Karvy,-0.0005,1,-0.0005,1.0
2015-05-01,Unknown,Chola Wealth Direct,-0.0033813400125235,1,0.0160064228205189,1.0
2015-05-01,Unknown,Karvy,-0.0221576113871271,1,-0.015913138086637198,2.0
