date,Company Name,Symbol,author,Sector,expected_return,actual_return,year
2023-05-12,a2z infra engineering limited,A2ZINFRA,ICICI Direct,Technology,10.146155475534838,0.0454545454545455,2023
2023-07-21,a2z infra engineering limited,A2ZINFRA,ICICI Direct,Technology,22.777985373405222,0.0073529411764705,2023
2024-04-01,a2z infra engineering limited,A2ZINFRA,ICICI Direct,Technology,26.09068442023503,0.0857142857142856,2024
2021-04-01,a2z infra engineering limited,A2ZINFRA,ICICI Securities Limited,Technology,28.57384537303333,0.0649350649350648,2021
2021-05-15,a2z infra engineering limited,A2ZINFRA,ICICI Securities Limited,Technology,26.258830602735618,-0.1354166666666665,2021
2021-11-11,a2z infra engineering limited,A2ZINFRA,ICICI Securities Limited,Technology,24.01905829596412,-0.2198581560283687,2021
2022-02-06,a2z infra engineering limited,A2ZINFRA,ICICI Securities Limited,Technology,40.46504245694787,-0.1365638766519823,2022
2022-05-27,a2z infra engineering limited,A2ZINFRA,IDBI Capital,Technology,45.77414772727272,0.0340425531914893,2022
2023-02-10,a2z infra engineering limited,A2ZINFRA,IDBI Capital,Technology,45.25900211013546,-0.0751445086705202,2023
2023-03-27,a2z infra engineering limited,A2ZINFRA,IDBI Capital,Technology,38.79674796747968,0.2155172413793103,2023
2023-05-12,a2z infra engineering limited,A2ZINFRA,IDBI Capital,Technology,33.34039398432535,0.0454545454545455,2023
2023-08-02,a2z infra engineering limited,A2ZINFRA,IDBI Capital,Technology,32.29653759260233,0.0,2023
2024-05-12,a2z infra engineering limited,A2ZINFRA,IDBI Capital,Technology,14.97756328845992,0.0246478873239437,2024
2022-12-22,a2z infra engineering limited,A2ZINFRA,KamayaKya Wealth,Technology,22.317018410417603,0.0257731958762886,2022
2019-08-14,a2z infra engineering limited,A2ZINFRA,Karvy,Technology,32.33348037053375,-0.0714285714285715,2019
2021-04-06,a2z infra engineering limited,A2ZINFRA,Prabhudas Lilladhar,Technology,6.836138783923042,0.0270270270270269,2021
2021-08-06,a2z infra engineering limited,A2ZINFRA,Prabhudas Lilladhar,Technology,30.71649920180298,0.0105263157894736,2021
2018-05-25,a2z infra engineering limited,A2ZINFRA,Reliance Securities,Technology,18.21764170960898,0.0105708245243128,2018
2018-08-01,a2z infra engineering limited,A2ZINFRA,Reliance Securities,Technology,64.26688298519569,-0.0043956043956044,2018
2019-08-13,a2z infra engineering limited,A2ZINFRA,Reliance Securities,Technology,68.67469879518072,-0.0533980582524272,2019
2020-06-28,a2z infra engineering limited,A2ZINFRA,Yes Securities,Technology,31.9970667318504,-0.0964912280701754,2020
2020-08-18,a2z infra engineering limited,A2ZINFRA,Yes Securities,Technology,31.71415226529659,0.2195121951219513,2020
2020-10-27,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,19.90549320732427,-0.0133262260127931,2020
2020-12-07,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,4.436989682891316,-0.025,2020
2021-01-28,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,18.21225797059252,-0.0035399508741512,2021
2021-05-18,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,10.752191970466075,-0.0477034120734908,2021
2021-07-29,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,14.30290269213416,-0.0129889519259479,2021
2021-10-29,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,10.15284774997866,-0.0419491525423728,2021
2022-02-02,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,5.283681029440442,0.0176049526020507,2022
2022-05-11,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,9.051254089422034,0.0436633422524932,2022
2022-10-30,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,16.764863417246918,-0.0320739049200747,2022
2023-01-31,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,22.194513715710723,-0.0404878048780488,2023
2023-05-02,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,31.061598951507207,-0.0420407269542368,2023
2023-07-25,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,9.285127362366474,-0.0245098039215686,2023
2023-10-20,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,17.65840486064229,-0.1052986512524084,2023
2024-01-29,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,12.625963248369882,0.0285516696305076,2024
2024-05-07,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,19.73532191996639,-0.0044113013338935,2024
2024-05-20,aarti drugs limited,AARTIDRUGS,Axis Direct,Healthcare,9.881098810988108,-0.0020132876988121,2024
2018-05-17,aarti drugs limited,AARTIDRUGS,Centrum Broking,Healthcare,81.47448015122873,-0.0526091283947106,2018
2018-10-04,aarti drugs limited,AARTIDRUGS,Centrum Broking,Healthcare,64.55696202531645,0.0259721520813793,2018
2016-07-01,aarti industries limited,AARTIIND,Ashika Research,Healthcare,18.09523809523809,0.0151715552789231,2016
2020-03-02,aarti industries limited,AARTIIND,Ashika Research,Healthcare,19.44388065760097,-0.0528643216080402,2020
2019-02-22,aarti industries limited,AARTIIND,Axis Direct,Healthcare,13.646055437100213,0.0023188916285077,2019
2019-06-21,aarti industries limited,AARTIIND,Axis Direct,Healthcare,3.0444964871194404,0.0019479615973284,2019
2019-09-18,aarti industries limited,AARTIIND,Axis Direct,Healthcare,6.957358127605001,0.0349904153354632,2019
2020-03-06,aarti industries limited,AARTIIND,Axis Direct,Healthcare,9.8031256342602,-0.1781383119662474,2020
2020-04-07,aarti industries limited,AARTIIND,Axis Direct,Healthcare,6.897797038642104,0.100528596599838,2020
2020-06-15,aarti industries limited,AARTIIND,Axis Direct,Healthcare,-7.52774742653402,0.0956726457399103,2020
2020-06-16,aarti industries limited,AARTIIND,Axis Direct,Healthcare,4.733567757641331,0.0459546925566343,2020
2020-11-12,aarti industries limited,AARTIIND,Axis Direct,Healthcare,16.53441594390109,0.05751033532384,2020
2021-02-02,aarti industries limited,AARTIIND,Axis Direct,Healthcare,9.855698023782324,0.0419071729957806,2021
2021-08-10,aarti industries limited,AARTIIND,Axis Direct,Healthcare,0.1624255549539794,0.0299459459459459,2021
