k_percent,avg_monthly_return,mean_of_mean_performance,number_of_predictions,combined_metric,final_corpus_value,total_trades,num_months
1.0,-0.007744886211487241,0.000786564440155997,9.966666666666667,0.003852758920221436,1.001872123874624,598,51
1.5,-0.007744886211487241,0.000786564440155997,9.966666666666667,0.003852758920221436,1.001872123874624,598,51
2.0,-0.007744886211487241,0.000786564440155997,9.966666666666667,0.003852758920221436,1.001872123874624,598,51
2.5,-0.009355521077079152,0.0008827761762190763,12.683333333333334,0.006123211168378617,1.001872123874624,761,52
3.0,-0.005691020109006109,0.002320156677602152,17.533333333333335,0.03366674708062441,1.0997308372385917,1052,56
3.5,-0.008727214446184803,0.0019094179942698538,19.166666666666668,0.028930511556838866,1.0997308372385917,1150,59
4.0,-0.008727214446184803,0.0019094179942698538,19.166666666666668,0.028930511556838866,1.0997308372385917,1150,59
4.5,-0.008727214446184803,0.0019094179942698538,19.166666666666668,0.028930511556838866,1.0997308372385917,1150,59
5.0,-0.009183482666485583,0.0020361221404729315,19.733333333333334,0.03228614357199918,1.0997308372385917,1184,59
5.5,-0.010979746183993512,0.0014578966221715024,20.683333333333334,0.021880828468580575,1.0997308372385917,1241,60
6.0,-0.013043447329979514,0.0011530129355040053,21.45,0.016152127466560914,1.0997308372385917,1287,60
6.5,-0.012552606009479123,0.0012097424927518317,22.966666666666665,0.018597085916867068,1.0997308372385917,1378,60
7.0,-0.011733391973464513,0.0015000690771084734,23.033333333333335,0.02533825774273184,1.0997308372385917,1382,60
7.5,-0.010832547337329745,0.0015526618971806706,24.066666666666666,0.027740729658814807,1.0997308372385917,1444,60
8.0,-0.014449709468441218,0.0016966683629342603,27.1,0.035139712635518454,1.0997308372385917,1626,60
8.5,-0.014331877161990738,0.0017032938041065542,27.166666666666668,0.03540614834489472,1.0997308372385917,1630,60
9.0,-0.01571265477469069,0.001308931092395764,30.133333333333333,0.027389123584192356,1.1071863150139003,1808,60
9.5,-0.015622024951847457,0.001208564666844889,31.6,0.025550643472298497,1.1071863150139003,1896,60
10.0,-0.014019115353637564,0.001513093336489853,32.13333333333333,0.03576739921254061,1.1071863150139003,1928,60
10.5,-0.013763248023113782,0.0019224118513420754,32.7,0.04978286753888587,1.1071863150139003,1962,60
11.0,-0.012869393920114677,0.0020774108304159526,33.81666666666667,0.056724442915232806,1.1071863150139003,2029,60
11.5,-0.01299916848100241,0.0020354304509942727,34.0,0.055604635333805275,1.1071863150139003,2040,60
12.0,-0.017536442289801637,0.0014660907392111402,36.4,0.0388057029072855,1.0679682837709983,2184,60
12.5,-0.01791947009908766,0.0014856213036201521,37.2,0.04038511249466967,1.0679682837709983,2232,60
13.0,-0.01639700550412351,0.0024706180270849696,38.03333333333333,0.07875250563013167,1.0679682837709983,2282,60
13.5,-0.017719413331370438,0.0021039450053053684,38.46666666666667,0.06554508453741317,1.0679682837709983,2308,60
14.0,-0.019398950419081528,0.0020817510321977507,38.71666666666667,0.06511179412992292,1.0679682837709983,2323,60
14.5,-0.019307529812748987,0.0022800928166975118,38.93333333333333,0.07319828033008978,1.0679682837709983,2336,60
15.0,-0.017718013958442646,0.002821943829555058,39.2,0.09494019811855826,1.0679682837709983,2352,60
15.5,-0.01792585163727306,0.002824939632653602,41.06666666666667,0.09958418758097459,1.0679682837709983,2464,60
16.0,-0.018248194666551,0.002808299972969841,41.55,0.10006486387689689,1.0679682837709983,2493,60
16.5,-0.018297812228599872,0.0027978715625237988,41.583333333333336,0.09971149247494797,1.0679682837709983,2495,60
17.0,-0.019623345522622584,0.0025061376738505924,41.96666666666667,0.08838757771259652,1.0679682837709983,2518,60
17.5,-0.020582143761190767,0.002367665544740526,42.11666666666667,0.0828715138593218,1.0679682837709983,2527,60
18.0,-0.02085431892061903,0.0016792595508729807,42.6,0.05449645686718898,1.0503810102651843,2556,60
18.5,-0.022771710812318543,0.0016663140241487775,44.11666666666667,0.055865553698696904,1.0503810102651843,2647,60
19.0,-0.020737694712715676,0.001875181926384219,44.63333333333333,0.06584228664761564,1.0503810102651843,2678,60
19.5,-0.020397089039599303,0.0018753916008560766,44.75,0.06602377413830943,1.0503810102651843,2685,60
20.0,-0.020397089039599303,0.0018753916008560766,44.75,0.06602377413830943,1.0503810102651843,2685,60
20.5,-0.020261271048645654,0.001809694736706323,44.85,0.06322480894127859,1.0503810102651843,2691,60
21.0,-0.020635078349090414,0.001813117142991978,45.21666666666667,0.06389644681562061,1.0248196674462349,2713,60
21.5,-0.021430544300165034,0.0016331678407173259,45.65,0.05629411192874593,1.0248196674462349,2739,60
22.0,-0.022513778432970137,0.0015382000897273369,46.36666666666667,0.05277454416035752,1.0248196674462349,2782,60
22.5,-0.022541146034911495,0.0014783071024940587,46.38333333333333,0.050015477770682756,1.0248196674462349,2783,60
23.0,-0.02296988141465913,0.0013457124158132393,46.983333333333334,0.044432721669625364,1.0248196674462349,2819,60
23.5,-0.022608389779899745,0.0011504472305958488,47.71666666666667,0.03580884035326526,1.0248196674462349,2863,60
24.0,-0.023092145907959084,0.001029921677491228,48.85,0.030771673945446495,1.0248196674462349,2931,60
24.5,-0.021868662981503632,0.0009453736062850811,49.38333333333333,0.02693236659037825,1.0248196674462349,2963,60
25.0,-0.021868662981503632,0.0009453736062850811,49.38333333333333,0.02693236659037825,1.0248196674462349,2963,60
