k_percent,avg_monthly_return,mean_of_mean_performance,number_of_predictions,combined_metric,final_corpus_value,total_trades,num_months
1.0,0.003143013611179084,0.0034424702003009572,2.576923076923077,0.007840211670006312,0.9871830881794056,67,26
1.5,0.003143013611179084,0.0034424702003009572,2.576923076923077,0.007840211670006312,0.9871830881794056,67,26
2.0,0.003143013611179084,0.0034424702003009572,2.576923076923077,0.007840211670006312,0.9871830881794056,67,26
2.5,0.003301704012388191,0.003673659009726146,2.6296296296296298,0.008608510729279865,0.9871830881794056,71,27
3.0,0.007030215826433683,0.005426032994535318,2.914285714285714,0.014647296155502925,0.9871830881794056,102,35
3.5,0.004440082203841681,0.003697503232359578,3.422222222222222,0.011284788839630555,0.9871830881794056,154,45
4.0,0.004440082203841681,0.003697503232359578,3.422222222222222,0.011284788839630555,0.9871830881794056,154,45
4.5,0.004440082203841681,0.003697503232359578,3.422222222222222,0.011284788839630555,0.9871830881794056,154,45
5.0,0.005121046038270207,0.003989714975745213,3.4347826086956523,0.012329890568863992,0.9871830881794056,158,46
5.5,0.00317648517770863,0.002752931547837977,3.5106382978723403,0.008260291604112046,0.9871830881794056,165,47
6.0,0.002184145389852939,0.0011653912730571034,3.5918367346938775,0.0027491604909806165,0.9871830881794056,176,49
6.5,0.0020709058525219455,0.00035071758563436854,3.8518518518518516,-0.00018982855903798793,0.9871830881794056,208,54
7.0,0.001734738101987216,0.0009798790158827787,4.1454545454545455,0.0024038621022049738,0.9871830881794056,228,55
7.5,0.0008302641297092007,0.000422903775875761,4.290909090909091,9.82780201214472e-05,0.9871830881794056,236,55
8.0,0.00043281976270977525,0.00033089839939211697,4.321428571428571,-0.0002986176311983517,0.9871830881794056,242,56
8.5,0.00043281976270977525,0.00033089839939211697,4.321428571428571,-0.0002986176311983517,0.9871830881794056,242,56
9.0,-0.002571954595620219,-0.0004681193192300822,4.839285714285714,-0.004201077419845577,0.9938755635787158,271,56
9.5,-0.0021129055111406064,0.00032891301071447706,5.357142857142857,-0.0003808231568867301,0.9938755635787158,300,56
10.0,-0.0013962743712814076,0.000793557126636592,5.456140350877193,0.0021473029190171946,0.9938755635787158,311,57
10.5,-0.0003875772321083584,0.0014287792937113597,5.859649122807017,0.006028285685957792,0.9938755635787158,334,57
11.0,-0.0015514374985745106,0.00127472905893186,5.982456140350878,0.005233028229750252,0.9938755635787158,341,57
11.5,-0.0005886306194978997,0.0014591815496360256,6.12280701754386,0.0064851642249644376,0.9938755635787158,349,57
12.0,-0.0030642904555419127,0.0009380691249802121,6.706896551724138,0.003608773958919009,0.9938755635787158,389,58
12.5,-0.0053144891598600145,0.0002949016030996669,7.172413793103448,-0.0007538091915610098,0.9938755635787158,416,58
13.0,-0.007290889264667933,-0.0002519785542054053,7.983050847457627,-0.005204777949673659,0.9938755635787158,471,59
13.5,-0.0075243371939232705,0.0003028867529397358,8.813559322033898,-0.0008559133639209729,0.9938755635787158,520,59
14.0,-0.007587256743920931,0.00029576261665841734,8.830508474576272,-0.0009204690969655013,0.9938755635787158,521,59
14.5,-0.007583396799541558,0.00019155134001839382,9.033898305084746,-0.0018831039961050187,0.9938755635787158,533,59
15.0,-0.010568176377763626,0.0005434764826891223,9.694915254237289,0.0013909923406470836,0.9839646229637782,572,59
15.5,-0.010287289478991702,-9.026104000786903e-05,10.916666666666666,-0.005352016353419237,0.9839646229637782,655,60
16.0,-0.013117464048284478,-0.0007347416892202566,12.4,-0.014070796946331184,0.9839646229637782,744,60
16.5,-0.012558131833975797,-0.0008058289082322009,12.533333333333333,-0.015113055649843585,0.9839646229637782,752,60
17.0,-0.012331451609404269,-0.0007574986110335165,12.783333333333333,-0.014796690577711788,0.9839646229637782,767,60
17.5,-0.013348185952259036,-0.0007907050639261637,13.866666666666667,-0.016511110219776137,0.9839646229637782,832,60
18.0,-0.01595183846545704,-0.0008649762881500887,15.3,-0.01935413720869636,0.9743768899387955,918,60
18.5,-0.012578769034690629,9.80842044339639e-05,17.05,-0.005147664314400916,0.9743768899387955,1023,60
19.0,-0.013118144558350638,0.0004785100970722881,18.283333333333335,0.0014354262748050009,0.9743768899387955,1097,60
19.5,-0.012895182233100098,0.0004987066976470031,18.566666666666666,0.0018326543529793575,0.9743768899387955,1114,60
20.0,-0.013250179894323099,0.0004981627052116385,18.65,0.0018307344521970566,0.9743768899387955,1119,60
20.5,-0.016806246126316045,4.2088124718122935e-05,19.916666666666668,-0.0071284115160307185,0.9743768899387955,1195,60
21.0,-0.013659420565968068,0.0004855163376896172,21.416666666666668,0.001831474898852634,0.9743768899387955,1285,60
21.5,-0.01650645722744629,0.00028178756319282894,24.716666666666665,-0.002921817396417245,0.9743768899387955,1483,60
22.0,-0.015935444709125623,0.00019052813306844158,26.15,-0.005477689320260253,0.9743768899387955,1569,60
22.5,-0.015755285555331556,0.00022290160379129256,26.333333333333332,-0.00466359110016263,0.9743768899387955,1580,60
23.0,-0.015153828472921701,0.00029281818965725613,26.783333333333335,-0.002870686153679824,0.9743768899387955,1607,60
23.5,-0.015480956903231959,-1.7310619636297843e-05,27.6,-0.011517773101961821,0.9743768899387955,1656,60
24.0,-0.014801074083280541,0.00025773192132722217,31.8,-0.004524124901794335,1.0742621717914396,1908,60
24.5,-0.014102995295566818,0.0002690098151223641,33.31666666666667,-0.004364156326173237,1.0742621717914396,1999,60
25.0,-0.014102995295566818,0.0002690098151223641,33.31666666666667,-0.004364156326173237,1.0742621717914396,1999,60
