,correlation_threshold,performance_threshold,mean_of_mean_performance,number_of_monthly_predictions
0,-1.0,-1.0,-0.0012849543594204728,267.4270833333333
1,-1.0,-0.5,-0.0012849543594204728,267.4270833333333
2,-1.0,0.0,-0.0010482982050971927,99.80208333333333
