### iter_0_a_-1.0_b_-1.0 ###
                  Sector                              author  mean_performance  count      month
83               Finance                 Chola Wealth Direct         -0.002073      9 2015-04-01
84               Finance                     HDFC Securities         -0.015167      8 2015-04-01
85               Finance                               Karvy         -0.006714      5 2015-04-01
86            Healthcare                               Karvy          0.011864      1 2015-04-01
87         Manufacturing                 Chola Wealth Direct          0.000154      1 2015-04-01
88         Manufacturing                     HDFC Securities          0.006288      2 2015-04-01
89         Manufacturing                               Karvy         -0.005234      1 2015-04-01
90            Technology                 Chola Wealth Direct          0.011042      1 2015-04-01
91            Technology                     HDFC Securities         -0.013894      3 2015-04-01
92            Technology                               Karvy          0.012635      1 2015-04-01
93               Unknown                 Chola Wealth Direct          0.005343      1 2015-04-01
94               Unknown                               Karvy          0.006244      2 2015-04-01
95        Consumer Goods            BOB Capital Markets Ltd.          0.016578      1 2015-05-01
96        Consumer Goods                 Chola Wealth Direct          0.015075      3 2015-05-01
97        Consumer Goods                     HDFC Securities          0.016698      3 2015-05-01
98                Energy                     Phillip Capital          0.008707      1 2015-05-01
99               Finance                     Ashika Research          0.025608      1 2015-05-01
100              Finance                 Chola Wealth Direct         -0.007657      8 2015-05-01
101              Finance                     HDFC Securities          0.016231      9 2015-05-01
102              Finance                               Karvy         -0.005060      3 2015-05-01
103              Finance                     Phillip Capital         -0.010629      8 2015-05-01
104           Healthcare                 Chola Wealth Direct         -0.009898      3 2015-05-01
105           Healthcare                     HDFC Securities          0.012161      3 2015-05-01
106           Healthcare                               Karvy         -0.030958      1 2015-05-01
107        Manufacturing            BOB Capital Markets Ltd.         -0.004096      2 2015-05-01
108        Manufacturing                 Chola Wealth Direct         -0.004231      7 2015-05-01
109        Manufacturing                     HDFC Securities         -0.006033     12 2015-05-01
110        Manufacturing                               Karvy          0.004055      6 2015-05-01
111        Manufacturing                     Phillip Capital         -0.001656      9 2015-05-01
112          Real Estate                 Chola Wealth Direct         -0.002869      1 2015-05-01
113           Technology                 Chola Wealth Direct         -0.000167      3 2015-05-01
114           Technology                     HDFC Securities         -0.003634      7 2015-05-01
115           Technology                               Karvy         -0.001430      3 2015-05-01
116   Telecommunications                               Karvy         -0.000500      1 2015-05-01
117              Unknown                 Chola Wealth Direct         -0.003381      1 2015-05-01
118              Unknown                               Karvy         -0.022158      1 2015-05-01
119       Consumer Goods            BOB Capital Markets Ltd.         -0.024241      1 2015-06-01
120       Consumer Goods                     Phillip Capital          0.013031      4 2015-06-01
121               Energy                 Chola Wealth Direct          0.006296      1 2015-06-01
