mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,std_monthly_corpus_return,min_monthly_corpus_return,max_monthly_corpus_return,median_monthly_corpus_return,mode_monthly_corpus_return,k_percent
0.0034787914228085652,38.75,-0.12042010218188859,0.003603999076487015,0.03908464677053721,-0.10598294645908546,0.11589094484578233,0.0,0.0,1.0
0.0034787914228085652,38.75,-0.12042010218188859,0.003603999076487015,0.03908464677053721,-0.10598294645908546,0.11589094484578233,0.0,0.0,1.5
0.0034787914228085652,38.75,-0.12042010218188859,0.003603999076487015,0.03908464677053721,-0.10598294645908546,0.11589094484578233,0.0,0.0,2.0
0.001755587569327492,51.11666666666667,-0.10957451686563442,0.019004852451578583,0.10457519422032034,-0.13180336840761686,0.6952577151394692,4.769443777408178e-05,0.0,2.5
0.0024666559922405036,71.86666666666666,-0.05954053827250772,0.020991259326688192,0.10797707589667002,-0.13180336840761686,0.6952577151394692,0.0013755296308664011,-0.13180336840761686,3.0
0.002561842343162059,76.71666666666667,-0.05357302521640414,0.021668819902844964,0.10790384157194599,-0.13180336840761686,0.6952577151394692,0.0013755296308664011,-0.13180336840761686,3.5
0.002561842343162059,76.71666666666667,-0.05357302521640414,0.021668819902844964,0.10790384157194599,-0.13180336840761686,0.6952577151394692,0.0013755296308664011,-0.13180336840761686,4.0
0.002561842343162059,76.71666666666667,-0.05357302521640414,0.021668819902844964,0.10790384157194599,-0.13180336840761686,0.6952577151394692,0.0013755296308664011,-0.13180336840761686,4.5
-0.0005305742229129383,85.25,-0.10457991057686399,0.013521696689082702,0.06202209753930951,-0.13108832699632322,0.22379231740414274,0.0030506046465561543,-0.13108832699632322,5.0
-0.0005420716145443286,88.76666666666667,-0.1371006882243892,0.012816318319883663,0.06665608678324533,-0.14030411820788435,0.22379231740414274,0.0044233402213467166,-0.14030411820788435,5.5
-0.000849929756298538,104.45,-0.10656377583316325,0.00969781921838081,0.06617272727502642,-0.14030411820788435,0.22379231740414274,0.0046294266493733804,-0.14030411820788435,6.0
-0.0007515487487179587,106.66666666666667,-0.11389839280310592,0.009344486018219333,0.06618855529342382,-0.14030411820788435,0.22379231740414274,0.0028696641715413307,-0.14030411820788435,6.5
-0.0009292528263011732,108.4,-0.12859298174807957,0.008266146966025,0.0664038747959542,-0.14030411820788435,0.22379231740414274,0.0028696641715413307,-0.14030411820788435,7.0
-0.0010482729021312723,111.83333333333333,-0.1514255691072767,0.00803849518651432,0.06647114802957496,-0.14030411820788435,0.22193558220391707,0.0028696641715413307,-0.14030411820788435,7.5
-0.0008683852943859545,112.66666666666667,-0.15287896844294993,0.008789390512056319,0.06511577806528092,-0.14030411820788435,0.22193558220391707,0.0011580367140893166,-0.14030411820788435,8.0
0.001324419434664541,116.58333333333333,-0.13625591243965107,0.007393040278600224,0.06365650211819955,-0.13158801215585303,0.22193558220391707,0.0007449433473173395,-0.13158801215585303,8.5
0.0015220279256780017,119.13333333333334,-0.08966180388107954,0.006801542429374624,0.06345490098474749,-0.13158801215585303,0.22193558220391707,0.00024478917759740426,-0.13158801215585303,9.0
0.0015472058361813295,121.36666666666666,-0.07992027243274943,0.0062524134144062195,0.06384474017857582,-0.13158801215585303,0.22193558220391707,0.00024478917759740426,-0.13158801215585303,9.5
0.0015167304722104808,124.76666666666667,-0.08553374157871621,0.006616488113756208,0.06496324870279185,-0.16408725597933227,0.2203889643000163,0.00024478917759740426,-0.16408725597933227,10.0
