k_percent,avg_monthly_predictions,avg_mean_performance,avg_corpus_return
1.0,11.72549019607843,0.0007865644401559968,-0.3545516832007667
1.5,11.72549019607843,0.0007865644401559968,-0.3545516832007667
2.0,11.72549019607843,0.0007865644401559968,-0.3545516832007667
2.5,14.634615384615385,0.0006944979991981861,-0.42392186849572083
3.0,18.785714285714285,0.0028083000503580364,-0.41049523575677327
3.5,19.491525423728813,0.0017933027693885367,-0.5595622183136194
4.0,19.491525423728813,0.0017933027693885367,-0.5595622183136194
4.5,19.491525423728813,0.0017933027693885367,-0.5595622183136194
5.0,20.06779661016949,0.0018197446306973074,-0.5498842251235356
5.5,20.683333333333334,0.001664083369989835,-0.5800581333703417
6.0,21.45,0.0011359552200626982,-0.6782345300892705
6.5,22.966666666666665,0.0009157246055620019,-0.6901830518470282
7.0,23.033333333333335,0.0011594491718537622,-0.6635267991326771
7.5,24.066666666666666,0.0012119362971204056,-0.6444624734208
8.0,27.1,0.001450859388519404,-0.8684070041631038
8.5,27.166666666666668,0.0014497197389812472,-0.8691736059447523
9.0,30.133333333333333,0.0007620044832332432,-1.0060942951147698
9.5,31.6,0.0008608797160126585,-1.0659619860533198
10.0,32.13333333333333,0.0009823245159049855,-0.991140701118256
10.5,32.7,0.0010605335754815283,-1.0219929009335482
11.0,33.81666666666667,0.0011398338471957246,-0.9805993688506228
11.5,34.0,0.001124990909439308,-1.009328809461211
12.0,36.4,0.0008759542678926888,-1.1597379677502648
12.5,37.2,0.0008677513686033166,-1.1813838396658678
13.0,38.03333333333333,0.001656150773711928,-1.1476990554603277
13.5,38.46666666666667,0.0015169306670714626,-1.1975408080766854
14.0,38.71666666666667,0.0014436738696095204,-1.259646549400012
14.5,38.93333333333333,0.0014848441037699,-1.186899777036548
15.0,39.2,0.0016883375621994318,-1.113158049088923
15.5,41.06666666666667,0.0015832902197732226,-1.0890737229469918
16.0,41.55,0.0015453242598036205,-1.1403950639103675
16.5,41.583333333333336,0.001544468117528552,-1.1458179494825067
17.0,41.96666666666667,0.0014207539617946687,-1.301476246420059
17.5,42.11666666666667,0.0012990697070138528,-1.3396994697734994
18.0,42.6,0.0005964724539631642,-1.3012655613358772
18.5,44.11666666666667,0.0005399944395631719,-1.4072214226841557
19.0,44.63333333333333,0.000704112392665664,-1.3011443022802893
19.5,44.75,0.0007363553672327831,-1.2824751245340165
20.0,44.75,0.0007363553672327831,-1.2824751245340165
20.5,44.85,0.0007321860244656641,-1.2868602915943046
21.0,45.21666666666667,0.0007535874492254616,-1.2916335913736336
21.5,45.65,0.0007128230797842194,-1.3606924122973014
22.0,46.36666666666667,0.0006471987831789854,-1.4106755562466302
22.5,46.38333333333333,0.0006489218973376299,-1.4095612293805864
23.0,46.983333333333334,0.0005847505496926913,-1.4330986372349521
23.5,47.71666666666667,0.00027836845854617784,-1.4125079464960366
24.0,48.85,3.9695427357329367e-05,-1.5592233072447288
24.5,49.38333333333333,6.570694334070836e-05,-1.536730195805283
25.0,49.38333333333333,6.570694334070836e-05,-1.536730195805283
