mean_of_mean_performance,number_of_monthly_predictions,combined_metric,mean_monthly_corpus_return,std_monthly_corpus_return,k_percent
0.0003850911212916901,37.083333333333336,-0.03557690009055136,-0.0021367179456725288,0.026660286786344207,1.0
0.0003850911212916901,37.083333333333336,-0.03557690009055136,-0.0021367179456725288,0.026660286786344207,1.5
0.0003850911212916901,37.083333333333336,-0.03557690009055136,-0.0021367179456725288,0.026660286786344207,2.0
0.0032304206938866815,46.9,0.045811438352600646,-0.0003771337860770305,0.027995928853164848,2.5
0.004104239564575716,63.1,0.053310186495533124,0.0024906005411511408,0.036107424991915035,3.0
0.003980039236882049,73.55,0.06443282932485984,0.00374965931073236,0.039372026326707346,3.5
0.003980039236882049,73.55,0.06443282932485984,0.00374965931073236,0.039372026326707346,4.0
0.003980039236882049,73.55,0.06443282932485984,0.00374965931073236,0.039372026326707346,4.5
0.0032903442457380234,76.35,0.018942109189727583,0.005474188635170788,0.04652792155304028,5.0
0.003554556670317073,80.61666666666666,0.012593788114673135,0.006199644840364971,0.046861263995049515,5.5
0.0032394543611883523,92.66666666666667,0.03481973267214837,0.00537614382097051,0.04576984159328848,6.0
0.003109283471677127,100.26666666666667,0.08344398412424194,0.005953022562857196,0.04639144390734926,6.5
0.00312663882788943,101.0,0.07278621607315264,0.0062453271141016285,0.04639281851059881,7.0
0.0029408312263984747,102.46666666666667,0.047419709279525886,0.005924879231804362,0.04653678357467281,7.5
0.0029980374440496437,105.38333333333334,0.038603073107299886,0.005760054883986967,0.04749713929283116,8.0
0.0030359331493911685,105.61666666666666,0.03858115457678583,0.005873329843241665,0.047479087306972395,8.5
0.003393138770016825,110.73333333333333,0.06330900205772369,0.006053006378130688,0.04726193273393587,9.0
0.0034013499535098988,111.08333333333333,0.05723957939149417,0.005873197636229616,0.047533829732462105,9.5
0.0032694630554898213,113.55,0.04606546623503691,0.006162893463626764,0.047745357641432604,10.0
0.003263592900458749,115.61666666666666,0.04469291164518759,0.005505142516136221,0.047792050157846065,10.5
0.0033721773449997125,116.78333333333333,0.04707109759639228,0.007682055441958696,0.050516267320790995,11.0
0.0036479183306680316,118.0,0.027359510431083603,0.006744133910943569,0.05257824828548364,11.5
0.003467692559510598,124.36666666666666,0.04340882321514516,0.0069530714783730884,0.05295694778239444,12.0
0.0032650455662599667,128.28333333333333,0.0407202926664441,0.005946354617289429,0.052228194092724826,12.5
0.0030689138433078506,133.13333333333333,0.01207354549147032,0.005609333791536244,0.05313094718005632,13.0
0.0031033619938047427,133.23333333333332,0.013290960056533482,0.005726163867884901,0.053135715987192196,13.5
0.0031123390201279384,133.45,0.01104421980893675,0.005744295438630944,0.05313773350821998,14.0
0.003039801114363224,136.35,0.015095160702457363,0.004754713330783073,0.050841779690660914,14.5
0.0030027080861971247,140.0,0.01666367966170613,0.005248296763397042,0.05059514573196174,15.0
0.003247089598738967,146.03333333333333,0.03446945127528298,0.004245991524278605,0.05046923204328956,15.5
0.0030938128110195124,147.96666666666667,0.01616653022983098,0.004308216555217451,0.05054183017720465,16.0
0.0030801367205243735,148.13333333333333,0.011683858811804651,0.00418853196621964,0.05015393584801972,16.5
0.003062779490205648,148.41666666666666,0.008144170479709726,0.003450971156744901,0.051720025412015064,17.0
0.002962715913867006,150.4,0.010869187618542523,0.002828271693883409,0.051576479544005994,17.5
0.002775698006717861,154.4,0.0034981345582341,0.0038702189548195523,0.0498323703741074,18.0
0.00287223842466147,155.85,0.02784094834866472,0.004086019289103091,0.04999322935263652,18.5
0.0029660577963008723,156.76666666666668,0.025372006057782857,0.0040612464104949324,0.049956814642538594,19.0
0.002891737416707966,157.3,0.011575432155650316,0.0038285987590380246,0.049929677282159975,19.5
0.002958109107501857,157.45,0.014580257276099651,0.003964506514811178,0.04965146484763789,20.0
0.002996242343142148,157.93333333333334,0.01603520216754752,0.00417394419917597,0.0497894599186655,20.5
0.003188876279958648,160.36666666666667,0.09608491175002914,0.004466549010116319,0.049946144214567466,21.0
0.003048226036960443,162.36666666666667,0.08973253316941789,0.00439441275040132,0.049736270471702336,21.5
0.0030364716033464394,163.63333333333333,0.08880909496013484,0.00420345382178244,0.049745777018717206,22.0
0.0030364716033464394,163.63333333333333,0.08880909496013484,0.00420345382178244,0.049745777018717206,22.5
0.0029844668038926437,164.91666666666666,0.0792063235542262,0.004230686001396182,0.04966101614748618,23.0
0.002944938996859748,165.28333333333333,0.0732541461196186,0.004169400037837632,0.04973713768148744,23.5
0.0027222973058881675,166.01666666666668,0.060692487908022286,0.0035915678486670506,0.04957159517020663,24.0
0.002536905660819812,169.7,0.04921088414321671,0.0031293636516016967,0.04984963510805869,24.5
0.002536905660819812,169.7,0.04921088414321671,0.0031293636516016967,0.04984963510805869,25.0
0.0026989267862112527,169.8,0.050170536778440966,0.003182424143890857,0.049861593442478064,25.5
0.002594163757979271,171.28333333333333,0.028545768871748745,0.0025376949788376733,0.05016668654735109,26.0
0.002698618243786516,173.2,0.053546114203683125,0.0029263306359862537,0.04983030807120929,26.5
0.002722411602956944,173.46666666666667,0.052554088838501864,0.002821299756905136,0.049987714700064585,27.0
0.0026783586818531846,173.88333333333333,0.04423982732154701,0.0025284646943260288,0.05000528587973147,27.5
0.0026205326116712237,174.03333333333333,0.04064870863379177,0.0024845304035968335,0.050000737369052875,28.0
0.0025515541241136488,174.36666666666667,0.039051872262876326,0.0024582804469894582,0.05000414920883372,28.5
0.0025243965630038726,174.75,0.035796537677083455,0.002380442499120457,0.05005747542894605,29.0
